,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.22,0.4,0.37,0.2,0.09,0.15,0.52,0.23,0.14,0.06,0.28,0.29,0.34,0.31,0.0,0.09,0.21,0.14,0.0,0.12
buddata-ebxml-registry.csv,1.0,0.99,1.0,1.0,1.0,0.95,1.0,0.98,0.99,1.0,0.98,0.99,1.0,0.97,0.97,0.98,1.0,0.93,0.0,0.94
cornerstone.csv,0.32,0.42,0.5,0.22,0.09,0.59,0.5,0.45,0.21,0.17,0.04,0.37,0.38,0.25,0.48,0.29,0.57,0.34,0.0,0.12
emeraldemu.csv,0.74,0.19,0.13,0.19,0.09,0.04,0.15,0.0,0.06,0.0,0.7,0.07,0.62,0.66,0.23,0.13,0.1,0.07,1.0,0.71
jahshakafx.csv,0.0,0.25,0.22,0.2,0.64,0.04,0.15,0.25,0.26,0.04,0.28,0.2,0.34,0.16,0.24,0.27,0.14,0.18,0.25,0.24
jaolt.csv,0.19,0.49,0.28,0.39,0.09,0.12,0.5,0.33,0.24,0.13,0.11,0.49,0.0,0.51,0.48,0.27,0.19,0.18,0.0,0.59
kmess.csv,0.58,0.62,0.61,0.48,0.64,0.35,0.52,0.58,0.62,0.64,0.47,0.69,0.76,0.32,0.38,0.04,0.59,0.45,0.0,0.41
maya-work-in-progress.csv,0.65,0.47,0.64,0.46,0.45,0.4,0.78,0.7,0.58,0.02,0.81,0.77,0.83,0.89,0.79,0.67,0.63,0.66,0.5,0.76
mia.csv,0.56,0.47,0.11,0.04,0.64,0.55,0.2,0.26,0.35,0.0,0.32,0.0,0.34,0.51,0.3,0.45,0.11,0.3,0.75,0.65
mp-rechnungs-und-kundenverwaltung.csv,0.41,0.67,0.79,0.57,0.45,0.67,0.35,0.4,0.41,0.43,0.3,0.7,0.17,0.0,0.39,0.36,0.51,0.32,0.25,0.18
novembre.csv,0.12,0.21,0.28,0.13,0.09,0.12,0.0,0.21,0.05,0.04,0.23,0.46,0.17,0.25,0.15,0.15,0.14,0.0,0.5,0.0
ns-3.csv,0.82,0.56,0.83,0.81,0.18,0.01,0.9,0.75,0.48,0.43,0.38,0.81,0.86,0.65,0.8,0.8,0.49,0.59,0.75,0.65
nullc.csv,0.8,1.0,1.0,1.0,0.0,0.91,0.98,0.84,0.92,1.0,0.32,1.0,0.76,0.69,0.96,0.87,0.82,0.89,0.0,0.29
open-beos.csv,0.22,0.19,0.21,0.1,0.09,0.27,0.5,0.25,0.0,0.04,0.47,0.32,0.45,0.41,0.27,0.25,0.29,0.23,0.5,0.47
pixel-commandos.csv,0.04,0.18,0.07,0.25,0.0,0.01,0.02,0.02,0.0,0.0,0.09,0.01,0.03,0.05,0.01,0.04,0.0,0.0,0.0,0.0
plee-the-bear.csv,0.73,0.41,0.0,0.01,1.0,0.93,0.8,0.81,0.93,0.98,0.79,0.01,0.76,1.0,0.66,0.78,0.98,0.91,1.0,1.0
reaper-ecad.csv,0.7,0.58,0.54,0.01,0.91,0.8,0.32,0.4,0.52,0.81,0.34,0.56,0.34,0.44,0.45,0.6,0.58,0.68,0.75,0.47
unladen-swallow.csv,0.13,0.03,0.59,0.51,0.73,0.64,0.4,0.49,0.66,0.89,0.15,0.78,0.59,0.52,0.44,0.6,0.71,0.61,0.5,0.82
xmoto.csv,0.37,0.37,0.47,0.28,0.55,0.65,0.7,0.43,0.34,0.19,0.74,0.53,0.76,0.75,0.52,0.38,0.43,0.0,0.0,0.59
zxing.csv,0.42,0.29,0.34,0.23,0.09,0.16,0.25,0.17,0.06,0.17,0.15,0.56,0.1,0.46,0.45,0.27,0.29,0.25,0.25,0.0
