,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.9,0.65,0.64,0.64
jajuk.csv,0.78,0.87,0.76,0.85
vapor.csv,0.91,0.96,0.52,0.04
zorannt.csv,0.47,0.74,0.32,0.12
