,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.84,0.66,0.48,0.61,0.78,0.08,0.24,0.15,0.83,0.08,0.93,0.33
e-bio-flow.csv,0.87,0.66,0.63,0.61,0.61,0.0,0.33,0.15,0.94,0.08,0.91,0.32
freedom-erp.csv,0.96,0.71,0.46,1.0,0.78,0.0,0.27,0.17,0.67,0.0,0.88,0.5
jbasic.csv,0.82,0.63,0.36,0.67,0.62,0.03,0.2,0.16,0.78,0.1,0.93,0.24
jgossipforum.csv,0.88,0.69,0.4,0.61,0.5,0.23,0.8,0.26,0.6,0.1,0.94,0.43
joustsim.csv,0.77,0.63,0.33,0.63,0.21,0.07,0.67,0.2,0.8,0.08,0.9,0.25
jsidplay2.csv,0.91,0.67,0.39,0.52,0.59,0.02,0.16,0.16,0.8,0.09,0.86,0.18
madman.csv,0.67,0.67,0.4,0.62,0.79,0.01,0.24,0.42,1.0,0.15,0.94,0.05
mule.csv,0.91,0.73,0.37,0.65,0.66,0.0,0.25,0.1,0.71,0.4,0.97,0.38
nunit.csv,0.68,0.72,0.34,0.58,0.67,0.04,0.12,0.06,0.92,0.13,0.9,0.36
power-architect.csv,0.76,0.59,0.34,0.39,0.55,0.01,0.19,0.07,0.95,0.07,0.9,0.23
reaper3d.csv,0.81,0.61,0.45,0.46,0.65,0.04,0.33,0.06,0.72,0.17,0.87,0.22
