,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.11,0.04,0.4,0.33,0.02,0.22,0.05,0.15,0.22,0.18,0.5,0.47,0.55,0.64,0.09
fmri-dmt.csv,0.05,0.03,0.3,0.23,0.0,0.22,0.31,0.21,0.04,0.17,0.45,0.36,0.33,0.27,0.13
ftm.csv,0.19,0.06,0.55,0.44,0.02,0.36,0.1,0.26,0.34,0.17,0.91,0.62,0.57,0.15,0.11
fulguro.csv,0.09,0.0,1.0,0.67,0.01,0.19,0.1,0.3,0.0,0.21,0.64,0.0,0.33,0.11,0.24
gss.csv,0.09,0.05,0.37,0.36,0.01,0.35,0.08,0.2,0.22,0.3,0.85,0.46,0.49,0.34,0.15
illumination.csv,0.0,0.0,0.0,0.0,0.01,0.24,0.1,0.24,0.0,0.6,0.64,0.0,0.0,0.27,0.0
ldview.csv,0.09,0.05,0.53,0.31,0.01,0.25,0.11,0.18,0.21,0.2,0.53,0.59,0.65,0.29,0.15
monetdb.csv,0.15,0.07,0.43,0.56,0.0,0.5,0.5,0.31,0.46,0.21,1.0,0.55,0.51,0.43,0.06
netatalk.csv,0.1,0.05,0.4,0.31,0.0,0.48,0.1,0.21,0.2,0.25,0.58,0.57,0.48,0.21,0.16
olex2.csv,0.15,0.05,0.0,0.46,0.01,0.56,0.17,0.19,0.15,0.0,0.86,0.71,0.57,0.27,0.33
qpe.csv,0.16,0.06,0.6,0.42,0.0,0.38,0.12,0.21,0.26,0.22,0.83,0.68,0.7,0.01,0.12
quark.csv,0.3,1.0,0.42,0.64,0.0,0.8,0.0,0.27,0.46,0.17,1.0,0.69,0.63,1.0,0.1
sepgsql.csv,0.17,0.12,0.58,0.53,0.04,0.47,0.07,0.21,0.37,0.15,0.85,0.56,0.53,0.55,0.11
synergyspace.csv,0.09,0.05,0.33,0.48,0.01,0.21,0.12,0.35,0.15,0.12,0.65,0.33,0.44,0.11,0.06
