,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.19,0.07,0.39,0.21,0.05,0.27,0.08,0.23,0.26,0.21,0.32,0.57,0.58,0.77,0.15
fmri-dmt.csv,0.09,0.06,0.39,0.24,0.0,0.33,0.45,0.26,0.06,0.25,0.46,0.4,0.35,0.43,0.22
ftm.csv,0.31,0.11,0.37,0.57,0.04,0.44,0.15,0.22,0.51,0.22,0.49,0.63,0.59,0.18,0.2
fulguro.csv,0.14,0.0,0.09,0.21,0.02,0.2,0.18,0.43,0.0,0.27,0.7,0.0,0.17,0.14,0.35
gss.csv,0.17,0.1,0.5,0.51,0.02,0.49,0.14,0.32,0.36,0.45,0.79,0.6,0.61,0.46,0.25
illumination.csv,0.0,0.0,0.0,0.0,0.02,0.38,0.19,0.34,0.0,0.65,0.78,0.0,0.0,0.42,0.0
ldview.csv,0.16,0.09,0.64,0.46,0.02,0.39,0.2,0.27,0.33,0.31,0.55,0.64,0.46,0.44,0.26
monetdb.csv,0.24,0.1,0.49,0.62,0.0,0.3,0.25,0.24,0.59,0.29,0.29,0.53,0.65,0.47,0.09
netatalk.csv,0.18,0.09,0.47,0.43,0.0,0.57,0.18,0.35,0.34,0.38,0.65,0.6,0.62,0.31,0.27
olex2.csv,0.25,0.09,0.0,0.2,0.03,0.43,0.29,0.25,0.18,0.0,0.32,0.72,0.6,0.37,0.14
qpe.csv,0.26,0.12,0.39,0.52,0.0,0.51,0.2,0.2,0.37,0.3,0.81,0.33,0.38,0.02,0.19
quark.csv,0.28,0.07,0.3,0.52,0.0,0.42,0.0,0.16,0.59,0.09,0.29,0.29,0.57,0.06,0.16
sepgsql.csv,0.27,0.2,0.55,0.55,0.08,0.52,0.1,0.22,0.51,0.18,0.51,0.57,0.58,0.5,0.18
synergyspace.csv,0.15,0.09,0.08,0.31,0.02,0.21,0.21,0.43,0.15,0.16,0.61,0.21,0.18,0.08,0.09
