,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.76,0.64,0.62,0.68,0.39,0.79,0.28,0.5,0.92,0.73,0.81,1.03
emulemorph.csv,0.8,1.0,0.6,1.0,0.56,1.0,1.0,1.0,0.55,1.0,1.0,1.05
jaxen.csv,0.87,0.91,0.6,0.63,0.82,0.87,1.34,0.1,0.9,0.79,0.63,1.25
jvcl.csv,0.95,0.5,0.44,0.73,0.57,0.92,1.01,0.66,0.59,0.71,0.74,1.14
m-m-m.csv,0.73,0.94,0.83,0.76,0.93,0.27,1.0,0.96,1.02,0.98,0.98,0.43
motu.csv,0.79,0.75,0.94,0.91,1.0,0.78,1.01,0.98,0.68,0.42,0.91,0.98
nh3d.csv,0.64,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.73,0.72,1.01,0.38,0.88,0.75,0.23,0.77,1.03,0.63,0.93,0.19
wgs-assembler.csv,0.54,0.98,0.97,0.69,0.84,0.82,0.69,0.63,0.71,0.64,0.8,1.08
zabbix.csv,0.76,1.0,0.73,0.6,0.7,0.7,1.0,0.67,0.9,0.55,0.63,1.04
