,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv,codesmith.csv
apertium.csv,0.21,0.16,0.11,0.19,0.17,0.17,0.26,0.22,0.22,0.15,0.25,0.19,0.15,0.18,0.08,0.22,0.15
beast-mcmc.csv,0.2,0.28,0.32,0.32,0.25,0.24,0.28,0.22,0.33,0.33,0.23,0.25,0.24,0.23,0.37,0.29,0.29
bigdata.csv,0.16,0.17,0.21,0.23,0.23,0.17,0.37,0.12,0.37,0.19,0.33,0.15,0.32,0.18,0.33,0.2,0.18
codesmith.csv,0.21,0.25,0.17,0.32,0.3,0.3,0.3,0.43,0.41,0.27,0.27,0.29,0.21,0.29,0.33,0.22,0.32
cuberok.csv,0.23,0.2,0.3,0.25,0.34,0.24,0.28,0.25,0.29,0.33,0.25,0.31,0.3,0.25,0.44,0.2,0.19
exist.csv,0.31,0.37,0.41,0.31,0.34,0.36,0.35,0.43,0.39,0.23,0.29,0.24,0.22,0.32,0.44,0.27,0.36
icescrum.csv,0.23,0.18,0.22,0.25,0.15,0.24,0.18,0.26,0.24,0.18,0.19,0.21,0.21,0.26,0.13,0.22,0.15
jbasic.csv,0.3,0.29,0.33,0.4,0.35,0.33,0.33,0.3,0.4,0.34,0.21,0.34,0.21,0.23,0.44,0.31,0.27
jrefactory.csv,0.31,0.24,0.43,0.28,0.14,0.26,0.23,0.25,0.33,0.17,0.21,0.15,0.18,0.32,0.17,0.24,0.36
jsecurity.csv,0.16,0.21,0.16,0.17,0.27,0.2,0.3,0.28,0.23,0.21,0.17,0.18,0.16,0.22,0.27,0.27,0.3
libopenmetaverse.csv,0.28,0.36,0.41,0.25,0.21,0.3,0.14,0.4,0.16,0.15,0.29,0.16,0.39,0.26,0.11,0.22,0.17
mobicents.csv,0.22,0.2,0.14,0.23,0.34,0.23,0.37,0.36,0.3,0.34,0.33,0.26,0.29,0.23,0.44,0.31,0.22
opendvr.csv,0.21,0.26,0.15,0.25,0.34,0.22,0.3,0.23,0.2,0.27,0.25,0.32,0.3,0.15,0.23,0.2,0.21
power-architect.csv,0.27,0.3,0.2,0.27,0.34,0.31,0.37,0.16,0.39,0.34,0.35,0.28,0.3,0.32,0.44,0.31,0.36
sidekar.csv,0.33,0.37,0.46,0.29,0.35,0.36,0.37,0.43,0.41,0.34,0.35,0.34,0.4,0.32,0.44,0.31,0.36
wheat.csv,0.24,0.22,0.21,0.26,0.31,0.22,0.14,0.34,0.23,0.32,0.23,0.26,0.25,0.14,0.24,0.24,0.34
wsmt.csv,0.29,0.31,0.45,0.43,0.35,0.27,0.37,0.28,0.22,0.28,0.33,0.29,0.26,0.32,0.41,0.31,0.21
