,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.16,0.12,0.26,0.19,0.18,0.0,0.04,0.15,0.19,0.36,0.3
bdbbasic.csv,0.39,0.13,0.33,0.25,0.23,0.4,0.0,0.71,0.22,0.29,0.39
bibletime.csv,0.79,0.86,0.71,0.38,0.66,0.52,0.92,0.97,0.41,0.0,0.86
crux-framework.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etherboot.csv,0.6,0.64,0.25,0.22,0.0,0.38,0.61,0.68,0.43,0.5,0.39
gnukeda.csv,0.57,0.55,0.59,0.0,0.77,0.31,0.39,0.63,0.22,0.29,0.7
google-gears.csv,0.83,0.35,0.29,0.66,0.7,0.76,0.69,0.93,0.03,0.57,0.29
jnode.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
openmeetings.csv,0.19,0.0,0.25,0.03,0.25,0.39,0.02,0.17,0.14,0.14,0.2
pgui.csv,0.39,0.2,0.21,0.34,0.34,0.22,0.04,0.0,0.43,0.43,0.31
wxcrp.csv,0.0,0.39,0.77,0.06,0.18,0.24,0.18,0.35,0.19,0.0,0.61
