,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.39,0.56,0.52,0.39,0.41,0.89,0.0,0.18,0.39,0.09,0.17,0.3,0.22,0.0,0.35,0.78
amygdala.csv,0.56,0.41,0.37,0.54,0.5,0.15,0.11,0.17,0.29,0.69,0.14,0.45,0.44,0.26,0.0,0.18,0.43
chrysalis.csv,0.42,0.31,0.39,0.23,0.3,0.11,0.33,0.72,0.35,0.42,0.65,0.2,0.34,0.86,0.84,0.5,0.36
cme.csv,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.11,1.0
hydrate.csv,0.64,0.41,0.6,0.52,0.59,0.12,0.49,0.05,0.57,0.58,0.48,0.68,0.65,0.57,0.49,0.71,0.52
ivef-sdk.csv,0.57,0.61,0.62,0.68,0.48,1.0,0.26,0.06,0.52,0.49,0.0,0.0,0.34,0.41,0.0,0.0,0.64
jmri.csv,0.44,0.31,0.68,0.16,0.13,0.61,0.52,0.63,0.42,0.3,0.53,0.39,0.17,0.0,0.0,0.31,0.3
jython.csv,0.6,0.54,0.48,0.36,0.42,0.6,0.13,0.86,0.54,0.51,0.55,0.0,0.23,0.52,0.0,0.52,0.17
kdenlive.csv,0.73,0.57,0.51,0.46,0.6,0.36,0.49,0.05,0.61,0.42,0.51,0.62,0.5,0.75,0.54,0.62,0.73
opentibia.csv,0.48,0.78,0.47,0.27,0.5,0.04,0.37,0.27,0.1,0.28,0.5,0.29,0.2,0.22,0.58,0.58,0.0
projectfactory.csv,0.16,0.2,0.4,0.09,0.41,0.11,0.27,0.0,0.62,0.36,0.72,0.25,0.23,0.05,0.0,0.66,0.76
runuomondains.csv,0.53,0.39,0.66,0.2,0.22,0.09,0.42,0.67,0.47,0.47,0.77,0.41,0.23,0.52,0.74,0.44,0.52
somap.csv,0.0,0.0,0.5,0.46,0.38,0.0,0.47,0.0,0.47,0.24,0.27,0.86,0.0,0.36,0.75,0.0,0.51
taverna.csv,0.34,0.4,0.26,0.2,0.74,0.07,0.7,0.29,0.51,0.5,0.54,0.45,0.34,0.54,0.38,0.31,0.0
tigermud.csv,0.33,0.38,0.53,0.0,0.45,0.0,0.11,0.17,0.12,0.38,0.52,0.57,0.67,0.67,0.45,0.57,0.0
x-ray-mule.csv,0.28,0.24,0.28,0.8,0.44,0.01,0.0,0.11,0.54,0.49,0.15,0.47,0.34,0.18,0.0,0.07,0.44
