,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.54,0.53,0.62,0.41,0.51,0.36,0.0
gstreamer.csv,0.48,0.59,0.47,0.49,0.48,0.45,0.52
ifmo-game-1.csv,0.72,0.0,0.85,0.5,0.88,0.53,0.8
pi-qmc.csv,0.44,0.46,0.43,0.4,0.48,0.42,0.44
quarkplusplus.csv,0.62,0.56,0.58,0.96,0.94,0.6,0.97
xapian.csv,0.53,0.51,0.52,0.66,0.57,0.47,0.54
zemljanka.csv,0.5,0.62,0.44,0.4,0.5,0.52,0.48
