,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.11,0.5,0.58,0.23,0.49,0.61,0.0
gstreamer.csv,0.1,0.48,0.44,0.27,0.28,0.78,0.98
ifmo-game-1.csv,0.24,0.0,0.52,0.5,0.25,0.65,1.0
pi-qmc.csv,0.07,0.5,0.44,0.27,0.7,0.62,0.97
quarkplusplus.csv,0.12,0.64,0.5,0.42,0.35,0.78,0.94
xapian.csv,0.09,0.44,0.43,0.43,0.24,0.62,0.95
zemljanka.csv,0.11,0.42,0.43,0.23,0.27,0.57,1.0
