,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.69,0.6,0.65,0.5,0.75,0.51,0.0
gstreamer.csv,0.59,0.57,0.39,0.63,0.45,0.69,0.64
ifmo-game-1.csv,0.84,0.0,0.29,0.05,0.11,0.51,0.02
pi-qmc.csv,0.44,0.55,0.51,0.61,0.86,0.63,0.65
quarkplusplus.csv,0.58,0.68,0.5,0.43,0.31,0.46,0.17
xapian.csv,0.5,0.13,0.48,0.61,0.47,0.61,0.53
zemljanka.csv,0.69,0.48,0.13,0.24,0.49,0.54,0.84
