,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.32,0.29,0.44,0.38,0.55,0.3,0.0,0.49,0.65,0.0
gamestone.csv,0.02,0.0,0.14,0.08,0.18,0.0,0.15,0.08,0.17,0.0
gbif-providertoolkit.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.06,0.04,0.0
heekscad.csv,0.0,0.29,0.32,0.51,0.36,0.22,0.22,0.37,0.5,0.2
igarden.csv,0.09,0.23,0.11,0.0,0.09,0.43,0.18,0.11,0.44,0.0
levent.csv,0.3,0.19,0.48,0.43,0.49,0.09,0.78,0.4,0.48,0.2
owlapi.csv,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.08,0.0
pnotepad.csv,0.72,0.75,0.9,0.99,0.88,0.65,0.78,0.79,0.96,0.0
quark.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
xcsoar.csv,0.21,0.13,0.0,0.31,0.36,0.17,0.23,0.2,0.83,0.0
