,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.59,0.78,0.46,0.61,0.48,0.68,0.65,0.54,0.44,0.58
gamestone.csv,0.89,0.88,0.69,0.89,0.93,0.75,0.88,0.92,0.69,0.86
gbif-providertoolkit.csv,0.67,0.0,0.5,0.0,0.91,0.8,0.5,0.93,0.67,0.0
heekscad.csv,0.44,0.53,0.4,0.37,0.41,0.87,0.71,0.44,0.43,0.52
igarden.csv,0.74,0.71,0.86,0.7,0.88,0.74,0.94,0.94,0.41,0.8
levent.csv,0.43,0.67,0.45,0.5,0.38,0.49,0.39,0.46,0.4,0.56
owlapi.csv,0.67,0.0,0.0,0.0,0.75,0.88,0.0,0.91,0.8,0.0
pnotepad.csv,0.44,0.46,0.36,0.31,0.33,0.38,0.35,0.52,0.33,0.4
quark.csv,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0
xcsoar.csv,0.42,0.64,0.47,0.53,0.41,0.45,0.57,0.47,0.36,0.7
