,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.34,0.62,0.42,0.3,0.02,0.47,0.89,0.12,0.21,0.14,0.34,0.64,0.13,0.8,0.2,0.71,0.32
beast-mcmc.csv,0.67,0.0,0.95,0.15,0.33,0.4,0.53,0.41,0.21,0.27,0.44,0.44,0.5,0.4,0.35,0.38,0.66
bscwweasel.csv,0.0,0.12,0.2,1.0,0.05,0.17,0.26,0.2,0.03,0.14,0.06,0.08,0.07,0.0,0.03,0.24,0.1
codeblocks.csv,0.19,0.5,0.24,0.3,0.74,1.0,0.91,0.72,0.42,0.25,0.14,0.8,0.33,1.0,0.82,0.8,0.34
gamestone.csv,0.07,1.0,0.06,0.05,0.02,0.08,0.09,0.05,0.08,0.03,0.06,0.12,0.07,0.4,0.03,0.33,0.1
iaml.csv,0.76,0.75,0.7,0.65,0.63,0.59,0.62,0.48,0.61,0.76,0.99,0.56,0.78,0.6,0.37,0.51,0.68
jbasic.csv,0.28,0.25,0.3,0.4,0.12,0.16,0.17,0.11,0.08,0.98,0.19,0.2,0.21,0.0,0.11,0.13,0.41
modplug.csv,0.9,0.38,0.56,0.45,0.63,0.69,0.83,0.68,0.55,0.33,0.36,0.56,0.55,1.0,0.8,1.0,0.56
pdfedit.csv,1.0,0.25,0.71,0.15,0.91,0.3,0.3,0.39,0.26,0.94,0.28,0.6,0.2,1.0,0.28,0.45,0.59
redshell.csv,0.98,1.0,0.73,0.45,0.98,0.87,0.89,1.0,1.0,0.81,0.91,0.92,0.86,1.0,0.95,0.91,0.68
sabbu.csv,0.98,0.25,0.76,0.5,0.7,0.37,0.68,0.52,0.32,0.84,0.45,0.6,0.32,0.8,0.45,0.49,0.71
silvertree.csv,0.41,0.12,0.33,0.25,0.33,0.34,0.57,0.25,0.29,0.62,0.25,0.96,0.32,0.4,0.18,0.18,0.32
t-2.csv,0.74,0.5,0.35,0.2,0.42,0.49,0.34,0.44,0.34,0.17,0.64,0.32,0.89,0.0,0.63,0.38,0.2
xinity.csv,0.53,0.25,0.62,0.1,0.51,0.55,0.36,0.48,0.18,0.75,0.37,0.76,0.38,0.6,0.66,0.6,1.0
xreal.csv,0.0,0.12,0.02,0.0,0.0,0.0,0.0,0.05,0.05,0.35,0.0,0.04,0.0,1.0,0.02,0.02,0.0
zabbix.csv,0.76,0.75,0.86,0.5,0.77,0.93,0.74,0.89,0.95,0.92,0.91,0.96,0.76,1.0,0.98,0.87,0.93
zengine.csv,0.81,0.88,0.94,0.9,0.77,0.76,0.94,0.76,1.0,0.65,0.42,0.96,0.76,1.0,0.74,0.85,0.95
