,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.35,0.01,0.15,0.07,0.44,0.82,0.02,0.06,0.03,0.17,0.33,0.0,0.24
emulemorph.csv,0.5,0.0,0.18,0.06,0.36,0.0,0.0,0.0,0.11,0.0,1.0,0.0,1.0
gisgraphy.csv,0.0,0.0,0.15,0.16,0.53,1.0,0.05,0.17,0.07,0.12,0.72,0.0,0.71
jaxen.csv,0.33,0.01,0.13,0.07,0.27,0.81,0.0,0.38,0.05,0.25,0.67,0.0,0.28
jvcl.csv,0.4,0.33,0.27,0.18,0.28,1.0,0.0,0.08,0.09,0.43,0.96,0.0,0.31
m-m-m.csv,0.36,0.01,0.08,0.07,0.22,0.92,0.02,0.06,0.02,0.22,0.36,0.01,0.3
motu.csv,0.41,0.02,0.11,0.04,0.24,0.93,0.0,0.05,0.08,0.4,0.43,0.0,0.28
nh3d.csv,0.41,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01,0.31
sarasvati.csv,0.38,0.01,0.05,0.17,0.15,0.82,0.06,0.07,0.0,0.27,0.32,0.04,0.29
wgs-assembler.csv,0.52,0.01,0.1,0.08,0.26,1.0,0.02,0.17,0.06,0.25,0.24,0.03,0.46
zabbix.csv,0.38,0.0,0.15,0.08,0.22,0.94,0.0,0.07,0.05,0.17,0.7,0.0,0.33
