,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,1.0,1.0,6.0,9.0,3.0,1.0,0.0,17.0,52.0,0.0,9.0
gamestone.csv,1.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,204.0,2.0,5.0
gbif-providertoolkit.csv,0.0,59.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0
heekscad.csv,0.0,10.0,1.0,4.0,0.0,71.0,1.0,22.0,3.0,0.0,2.0
igarden.csv,0.0,59.0,2.0,0.0,5.0,1.0,3.0,9.0,43.0,3.0,0.0
levent.csv,3.0,15.0,1.0,2.0,7.0,0.0,1.0,4.0,65.0,1.0,0.0
lportal.csv,0.0,20.0,3.0,5.0,80.0,0.0,1.0,2.0,0.0,1.0,1.0
natpad.csv,2.0,20.0,0.0,0.0,1.0,0.0,1.0,23.0,57.0,1.0,0.0
openmsx.csv,6.0,7.0,3.0,3.0,3.0,0.0,1.0,45.0,170.0,0.0,0.0
owlapi.csv,0.0,59.0,0.0,0.0,1.0,0.0,111.0,0.0,33.0,0.0,0.0
xcsoar.csv,0.0,17.0,0.0,1.0,14.0,0.0,1.0,5.0,156.0,4.0,1.0
