,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.57,0.33,0.62,0.7,0.6,0.79,0.05,0.48,0.67,0.72,0.53
gamestone.csv,0.9,0.12,0.73,0.79,0.87,0.92,0.8,0.88,0.98,0.87,0.94
gbif-providertoolkit.csv,0.88,1.0,0.89,0.97,0.21,0.9,0.95,0.72,0.75,0.95,0.63
heekscad.csv,0.02,0.43,0.51,0.8,0.53,1.0,0.69,0.66,0.59,0.68,0.93
igarden.csv,0.72,1.0,0.81,0.1,0.8,0.92,0.98,0.85,0.72,0.83,0.52
levent.csv,0.76,0.68,0.52,0.59,0.51,0.04,0.79,0.62,0.59,0.66,0.5
lportal.csv,0.95,0.59,0.84,0.87,1.0,0.81,0.84,0.92,0.11,0.74,0.91
natpad.csv,0.59,0.97,0.57,0.56,0.58,0.42,0.65,0.6,0.53,0.72,0.02
openmsx.csv,0.69,0.97,0.73,0.69,0.63,0.79,0.77,0.88,0.92,0.02,0.7
owlapi.csv,0.9,1.0,0.96,0.97,0.65,0.96,1.0,0.0,0.69,0.95,0.84
xcsoar.csv,0.43,0.65,0.02,0.62,0.54,0.55,0.67,0.49,0.48,0.75,0.53
