,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.83,0.35,0.5,0.31,0.22,0.71,1.0,0.26,0.05,0.43,0.53
gamestone.csv,0.67,1.0,0.62,0.35,0.15,1.0,0.42,0.23,0.01,0.39,0.3
gbif-providertoolkit.csv,1.0,0.0,1.0,0.5,1.0,0.83,0.67,0.54,0.09,0.75,0.8
heekscad.csv,0.99,0.25,0.57,0.33,0.25,0.0,0.45,0.21,0.06,0.43,0.38
igarden.csv,0.85,0.0,0.65,1.0,0.25,0.67,0.2,0.21,0.06,0.46,0.75
levent.csv,0.65,0.14,0.56,0.38,0.26,0.98,0.33,0.21,0.07,0.44,0.54
lportal.csv,0.57,0.17,0.69,0.19,0.0,0.61,0.28,0.5,1.0,0.38,0.25
natpad.csv,0.69,0.04,0.56,0.48,0.26,0.85,0.38,0.2,0.07,0.41,1.0
openmsx.csv,0.63,0.04,0.57,0.32,0.2,0.79,0.3,0.16,0.04,1.0,0.54
owlapi.csv,1.0,0.0,1.0,0.5,0.45,1.0,0.0,1.0,0.17,0.5,0.88
xcsoar.csv,0.82,0.15,0.98,0.38,0.25,0.81,0.36,0.33,0.08,0.4,0.52
