,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.59,0.48,0.55,0.37,0.33,0.36,0.97,0.39,0.09,0.39,0.57
gamestone.csv,0.18,0.93,0.39,0.27,0.15,0.15,0.28,0.16,0.02,0.2,0.11
gbif-providertoolkit.csv,0.21,0.0,0.19,0.06,0.88,0.18,0.1,0.37,0.13,0.09,0.51
heekscad.csv,0.99,0.38,0.63,0.48,0.37,0.0,0.39,0.28,0.1,0.47,0.12
igarden.csv,0.43,0.0,0.3,0.95,0.23,0.15,0.05,0.18,0.1,0.26,0.59
levent.csv,0.73,0.22,0.64,0.51,0.38,0.99,0.45,0.3,0.12,0.5,0.65
lportal.csv,0.1,0.27,0.26,0.21,0.0,0.44,0.36,0.14,0.94,0.42,0.26
natpad.csv,0.68,0.06,0.55,0.48,0.34,0.75,0.45,0.3,0.12,0.42,0.99
openmsx.csv,0.59,0.06,0.38,0.44,0.31,0.35,0.35,0.26,0.07,0.99,0.41
owlapi.csv,0.19,0.0,0.07,0.06,0.4,0.08,0.0,1.0,0.22,0.08,0.27
xcsoar.csv,0.72,0.24,0.98,0.42,0.36,0.62,0.44,0.42,0.14,0.37,0.6
