,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,0.53,0.93,0.51,0.51,0.28,0.39,0.38,0.56,0.24
e-bio-flow.csv,0.14,0.22,0.59,0.22,0.29,0.36,1.0,0.3,0.08
jmoney.csv,0.92,0.23,0.45,0.18,0.4,0.29,0.32,0.59,0.23
jmonkeyengine.csv,0.1,0.56,0.29,0.58,0.23,1.0,0.36,0.07,0.08
jsidplay2.csv,0.52,0.21,0.99,0.18,0.29,0.36,0.41,0.61,0.18
matrex.csv,0.56,0.37,0.48,0.3,0.24,0.08,0.32,0.99,0.15
piccolo2d.csv,0.0,0.0,0.1,0.08,0.96,0.0,0.17,0.05,0.0
reaper3d.csv,0.35,0.0,0.52,0.42,0.29,0.21,0.4,0.62,0.86
sblim.csv,0.3,0.0,0.1,0.95,0.3,0.09,0.12,0.23,0.0
