,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,190.0,197.5,3668.0,1578.5,3262.0,258.0,482.5,467.0,170.0,378.0,232.5,1268.5,780.5
freewrl.csv,289.0,197.5,4452.5,97.5,6361.0,197.5,99.0,494.0,695.0,292.5,433.5,1017.0,198.0
fulguro.csv,188.0,177.0,0.0,99.0,285.0,98.5,0.0,191.0,1414.0,292.5,375.0,514.0,0.0
google-web-toolkit.csv,192.5,78.5,967.5,99.0,1750.0,352.0,99.0,395.0,587.5,292.5,375.0,346.0,386.0
jcache.csv,192.5,197.5,2620.5,99.0,7183.0,629.5,99.0,494.0,534.0,764.5,183.0,1628.5,198.0
jstock.csv,190.0,97.5,860.5,286.0,3094.0,447.5,99.0,97.5,346.0,491.0,90.5,1182.0,386.0
mimosa.csv,192.5,197.5,3918.5,99.0,7083.5,629.5,99.0,494.0,887.0,292.5,280.5,1538.0,198.0
miranda.csv,93.5,98.5,614.0,42.5,186.5,0.0,98.5,395.0,45.5,194.0,183.0,926.5,198.0
ns-3-dev-def-routing.csv,93.5,197.5,4539.0,98.5,4065.5,194.5,99.0,96.5,326.0,375.0,1901.5,1372.0,683.0
ossbuild.csv,93.5,196.5,781.5,99.0,3565.5,621.5,99.0,97.5,65.5,318.0,88.5,1548.0,99.0
qtractor.csv,190.0,98.5,4539.0,98.5,4632.0,229.5,99.0,97.5,311.0,617.0,275.5,1168.5,99.0
quarkplayer.csv,192.5,95.5,2573.5,99.0,1475.0,0.0,171.0,294.0,329.0,412.5,86.5,73.5,197.5
synergyspace.csv,190.5,196.5,2095.0,99.0,4881.0,532.0,99.0,193.0,510.0,267.5,179.0,417.5,99.0
