,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.44,0.54,0.39,0.65,0.5,0.88,0.59,0.45,0.82,0.56,0.83,0.48,0.34
freewrl.csv,0.4,0.44,0.4,0.37,0.39,0.38,0.39,0.38,0.32,0.43,0.39,0.53,0.34
fulguro.csv,0.76,0.93,0.0,0.47,0.83,0.33,0.0,0.97,0.33,0.51,0.52,0.65,0.0
google-web-toolkit.csv,0.48,0.93,0.94,0.45,0.6,0.47,0.48,0.45,0.44,0.46,0.39,0.72,0.37
jcache.csv,0.39,0.44,0.46,0.42,0.41,0.35,0.39,0.43,0.35,0.65,0.41,0.41,0.37
jstock.csv,0.38,0.75,0.68,0.64,0.46,0.32,0.47,0.41,0.55,0.75,0.5,0.46,0.46
mimosa.csv,0.47,0.45,0.45,0.54,0.44,0.38,0.43,0.43,0.33,0.52,0.44,0.44,0.45
miranda.csv,0.58,0.57,0.94,0.67,0.67,0.0,0.96,0.74,0.0,0.83,0.58,0.47,0.39
ns-3-dev-def-routing.csv,0.62,0.47,0.43,0.46,0.53,0.83,0.6,0.57,0.83,0.58,0.74,0.52,0.37
ossbuild.csv,0.58,0.63,0.99,0.72,0.59,0.41,0.56,0.63,0.86,0.94,0.65,0.44,0.51
qtractor.csv,0.48,0.52,0.42,0.49,0.44,0.75,0.47,0.44,0.56,0.58,0.41,0.42,0.39
quarkplayer.csv,0.9,0.88,0.63,0.84,0.98,0.0,0.98,0.9,0.8,0.97,0.85,0.89,0.97
synergyspace.csv,0.93,0.64,0.71,0.63,0.59,0.67,0.49,0.75,0.46,0.75,0.72,0.65,0.97
