,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.66,0.0,0.47,0.0,0.13,0.67,0.52,0.78,0.17,0.69,0.5,0.29,0.65,0.53,0.0,0.09,0.54,0.0,0.0,0.4
bzbyte.csv,0.0,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.59,0.0,0.48,0.0,0.0,0.0,0.0,0.73,0.0,0.45,0.3
carabiner.csv,0.7,0.53,0.5,0.53,0.37,0.27,0.58,0.25,0.17,0.31,0.51,0.45,0.59,0.4,0.45,0.6,0.66,0.9,0.3,0.47
chipster.csv,0.56,0.35,0.64,0.5,0.3,0.45,0.72,0.51,0.17,0.53,0.2,0.57,0.0,0.63,0.33,0.09,0.13,0.26,0.17,0.49
continuum-ide.csv,0.0,0.27,0.34,0.31,0.45,0.52,0.74,0.23,0.12,0.44,0.2,0.34,0.09,0.73,0.33,0.8,0.27,0.11,0.13,0.24
ctrlr.csv,0.31,0.29,0.38,0.16,0.23,0.12,0.0,0.47,0.74,0.43,0.52,0.17,0.17,0.04,0.33,0.15,0.61,0.21,0.44,0.23
galaxium.csv,0.58,0.66,0.7,0.52,0.67,0.76,0.58,0.6,0.12,0.4,0.37,0.78,0.63,0.63,0.39,0.16,0.6,0.41,0.38,0.62
ingex.csv,0.32,0.49,0.55,0.65,0.6,0.74,0.45,0.62,0.0,0.55,0.37,0.66,0.58,0.51,0.42,0.26,0.44,0.36,0.41,0.44
itext.csv,0.61,0.55,0.69,0.56,0.73,0.69,0.6,0.71,0.31,0.39,0.51,0.69,0.51,0.77,0.0,0.41,0.68,0.59,0.38,0.67
jgnash.csv,0.57,0.35,0.45,0.63,0.63,0.58,0.64,0.39,0.41,0.52,0.56,0.76,0.59,0.59,0.47,0.79,0.63,0.27,0.4,0.6
jppf-project.csv,0.53,0.61,0.51,0.51,0.56,0.46,0.26,0.43,0.58,0.78,0.57,0.65,0.48,0.34,0.51,0.37,0.49,0.41,0.32,0.47
jsr308-langtools.csv,0.6,0.71,0.56,0.63,0.75,0.91,0.51,0.0,0.17,0.64,0.24,0.7,0.36,0.7,0.74,0.27,0.59,0.58,0.5,0.65
lite.csv,0.31,0.36,0.3,0.07,0.28,0.41,0.21,0.37,0.0,0.32,0.0,0.27,0.35,0.14,0.57,0.74,0.44,0.17,0.11,0.11
octet.csv,0.57,0.41,0.52,0.62,0.6,0.44,0.36,0.46,0.56,0.53,0.2,0.67,0.66,0.54,0.85,0.6,0.31,0.62,0.35,0.33
owfs.csv,0.64,0.24,0.61,0.45,0.67,0.7,0.3,0.17,0.63,0.0,0.34,0.66,0.53,0.49,0.41,0.26,0.54,0.76,0.52,0.69
sidekar.csv,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
stemkit.csv,0.21,0.39,0.23,0.54,0.4,0.52,0.28,0.31,0.28,0.25,0.81,0.17,0.32,0.49,0.0,0.09,0.11,0.3,0.5,0.32
ta3d.csv,0.11,0.33,0.52,0.43,0.38,0.72,0.39,0.65,0.17,0.45,0.42,0.39,0.0,0.44,0.44,0.24,0.19,0.27,0.26,0.57
tigermud.csv,0.37,0.49,0.46,0.07,0.43,0.37,0.3,0.21,0.5,0.48,0.2,0.54,0.27,0.61,0.29,0.26,0.24,0.46,0.63,0.2
utgb.csv,0.31,0.74,0.39,0.34,0.44,0.16,0.0,0.34,0.0,0.21,0.38,0.17,0.59,0.14,0.0,0.09,0.05,0.31,0.23,0.53
