,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.76,0.72,1.01,0.97,1.0,0.97,0.72,0.81,0.2,0.7,0.58,0.94,0.5,0.75,0.98,0.77,1.0,0.98,0.95,0.79
alleg.csv,0.76,0.8,0.62,0.68,0.75,0.14,0.83,0.82,0.65,0.87,0.71,0.73,0.98,0.73,0.74,1.1,0.54,0.58,0.61,0.87
biodwh.csv,0.92,0.75,0.94,0.81,0.93,0.85,0.75,0.92,0.77,0.72,1.0,1.0,1.0,0.63,0.97,0.0,0.84,0.98,0.6,0.74
factor.csv,0.91,0.82,1.05,1.0,0.76,0.58,0.99,0.57,0.73,0.61,0.46,1.0,0.78,0.81,0.97,0.86,0.85,0.07,0.49,0.91
iaml.csv,0.56,0.66,0.45,0.52,0.7,0.6,0.06,0.7,0.64,0.67,0.56,0.64,0.86,0.79,1.07,0.71,1.02,0.84,0.63,0.76
icescrum.csv,0.57,0.5,0.88,0.5,0.67,0.52,0.85,0.76,0.7,0.75,0.72,0.65,0.51,0.0,0.91,0.42,0.56,0.74,0.55,0.71
jbasic.csv,0.57,0.58,1.01,0.09,0.8,0.64,0.85,0.73,0.58,0.74,0.43,0.9,0.52,0.7,0.81,0.6,0.54,0.9,0.41,0.54
jcache.csv,0.57,0.72,0.71,0.56,0.7,0.83,0.6,0.46,0.65,0.45,0.41,0.69,0.62,0.62,0.98,0.42,0.78,0.55,0.63,0.06
ktc.csv,0.04,0.51,0.76,0.73,0.73,0.66,0.79,0.73,0.71,0.68,0.6,0.71,0.31,0.38,1.03,0.61,0.72,0.92,0.49,0.74
moast.csv,0.92,0.86,1.01,0.84,0.82,0.84,0.81,0.75,0.64,0.69,0.87,1.0,1.0,0.65,0.01,0.52,0.85,0.95,0.51,0.59
natpad.csv,0.43,0.58,0.71,0.47,0.87,0.54,0.61,0.67,0.64,0.57,0.21,0.63,0.34,0.65,0.96,0.74,0.78,0.54,0.07,0.66
nebuladevice.csv,0.72,0.72,0.45,0.95,0.93,0.69,0.8,0.91,0.86,0.81,0.61,0.07,1.01,0.8,1.05,0.84,0.83,0.9,0.84,1.15
nosleepsoftware.csv,0.89,0.81,0.13,0.9,1.0,0.79,0.88,0.96,1.0,1.0,0.6,0.65,1.06,0.99,1.14,0.73,0.7,0.92,0.89,0.83
pixel-commandos.csv,0.88,0.86,1.0,0.92,0.93,0.94,0.96,0.98,0.9,0.81,0.86,1.0,0.25,0.89,0.94,1.0,0.98,0.98,0.93,0.97
riff-evolve.csv,0.42,0.47,0.55,0.55,0.53,0.61,0.71,0.05,0.49,0.55,0.28,0.66,0.32,0.59,0.77,0.55,0.61,0.66,0.55,0.38
rosegarden.csv,0.56,0.09,0.48,0.76,0.67,0.65,0.76,0.58,0.71,0.38,0.3,0.7,0.52,0.46,1.03,0.56,0.68,0.55,0.59,0.95
smarttag.csv,0.56,0.6,1.02,0.78,0.0,0.76,0.73,0.72,0.71,0.63,0.62,0.79,0.62,0.43,0.85,0.64,0.77,0.75,0.51,0.78
wxcode.csv,0.69,0.7,0.94,0.78,1.0,0.85,0.98,0.9,0.87,0.9,0.0,0.87,0.75,0.74,0.99,0.92,0.89,0.93,0.81,0.85
xined.csv,0.79,0.62,0.79,0.77,0.8,0.9,0.61,0.87,0.68,0.0,0.9,0.82,0.84,0.71,1.33,0.85,1.01,0.4,0.79,0.87
zemljanka.csv,0.62,1.0,0.87,1.0,0.89,0.89,0.97,0.91,0.93,0.98,0.9,0.9,0.92,0.83,0.86,0.94,0.0,1.01,1.0,1.0
