,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.05,0.08,0.13,0.05,0.03,0.0,0.7,0.13,0.04,0.07,0.08,0.08,0.01,0.31,0.0,0.38,0.0,0.09,0.02,0.02
alleg.csv,0.57,0.68,0.62,0.52,0.62,0.13,0.39,0.69,0.41,0.51,0.57,0.65,0.64,0.59,0.72,0.8,0.44,0.52,0.36,0.17
biodwh.csv,0.02,0.07,0.0,0.05,0.05,0.35,0.24,0.02,0.08,0.16,0.01,0.01,0.02,0.03,0.0,0.0,0.11,0.04,0.16,0.02
factor.csv,0.06,0.12,0.32,0.02,0.67,0.24,0.01,0.49,0.19,0.35,0.16,0.01,0.2,0.5,0.24,0.42,0.78,0.04,0.2,0.07
iaml.csv,0.4,0.51,0.26,0.32,0.28,0.49,0.02,0.55,0.61,0.3,0.36,0.44,0.42,0.28,0.83,0.51,1.0,0.7,0.58,0.66
icescrum.csv,0.14,0.19,0.06,0.3,0.21,0.35,0.21,0.17,0.2,0.26,0.12,0.25,0.12,0.0,0.34,0.34,0.22,0.35,0.47,0.07
jbasic.csv,0.12,0.23,0.11,0.06,0.36,0.16,0.26,0.24,0.29,0.23,0.32,0.25,0.15,0.12,0.03,0.44,0.11,0.17,0.28,0.12
jcache.csv,0.53,0.68,0.64,0.5,0.49,0.55,0.37,0.29,0.64,0.44,0.38,0.63,0.57,0.56,0.69,0.25,0.44,0.39,0.33,0.0
ktc.csv,0.01,0.14,0.15,0.15,0.15,0.24,0.3,0.17,0.24,0.33,0.2,0.24,0.18,0.22,0.62,0.35,0.11,0.17,0.22,0.07
moast.csv,0.07,0.11,0.17,0.06,0.41,0.35,0.09,0.16,0.08,0.56,0.12,0.1,0.0,0.16,0.0,0.13,0.22,0.04,0.34,0.07
natpad.csv,0.28,0.33,0.19,0.36,0.82,0.42,0.16,0.48,0.39,0.49,0.16,0.34,0.23,0.5,0.48,0.61,0.67,0.17,0.02,0.12
nebuladevice.csv,0.21,0.14,0.45,0.35,0.05,0.44,0.29,0.19,0.38,0.12,0.21,0.0,0.15,0.12,0.38,0.06,0.22,0.35,0.3,0.71
nosleepsoftware.csv,0.15,0.19,0.02,0.12,0.05,0.09,0.4,0.01,0.05,0.02,0.18,0.25,0.34,0.28,0.59,0.3,0.0,0.26,0.36,0.07
pixel-commandos.csv,0.02,0.02,0.0,0.06,0.1,0.02,0.01,0.0,0.02,0.09,0.0,0.01,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0
riff-evolve.csv,0.32,0.38,0.23,0.32,0.31,0.44,0.56,0.03,0.41,0.47,0.24,0.52,0.32,0.5,0.76,0.49,0.44,0.35,0.47,0.15
rosegarden.csv,0.12,0.0,0.36,0.12,0.36,0.53,0.14,0.16,0.32,0.23,0.09,0.21,0.15,0.41,0.48,0.38,0.22,0.3,0.39,0.63
smarttag.csv,0.34,0.24,0.4,0.18,0.0,0.27,0.31,0.24,0.32,0.49,0.24,0.3,0.36,0.34,0.34,0.27,0.33,0.43,0.22,0.17
wxcode.csv,0.04,0.03,0.0,0.08,0.03,0.09,0.22,0.02,0.11,0.02,0.0,0.07,0.05,0.06,0.17,0.06,0.0,0.04,0.03,0.0
xined.csv,0.24,0.4,0.23,0.2,0.74,0.89,0.38,0.09,0.37,0.0,0.54,0.2,0.67,0.53,0.97,0.69,1.0,0.35,0.78,0.15
zemljanka.csv,0.61,1.0,0.87,1.0,0.85,0.89,0.97,0.9,0.92,0.98,0.86,0.9,0.89,0.72,0.86,0.94,0.0,1.0,1.0,1.0
