,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.79,0.71,0.72,0.71,0.47,0.3,0.51,0.69,0.56,0.66,0.56,0.42,0.66,0.68,0.64,0.76,0.68,0.72,0.94,0.64
cornerstone.csv,0.57,0.35,0.47,0.47,0.26,0.32,0.09,0.32,0.05,0.07,0.69,0.6,0.35,0.46,0.15,0.67,0.52,0.47,0.55,0.26
emeraldemu.csv,0.73,0.59,0.69,0.62,0.15,0.17,0.45,0.68,0.37,0.59,0.57,0.13,0.28,0.02,0.55,0.18,0.53,0.17,0.77,0.52
grafx2.csv,0.73,0.66,0.64,0.71,0.3,0.35,0.56,0.65,0.5,0.69,0.58,0.68,0.6,0.74,0.68,0.76,0.61,0.54,0.77,0.62
jahshakafx.csv,0.82,0.7,0.76,0.53,0.36,0.34,0.51,0.75,0.57,0.55,0.59,0.46,0.65,0.7,0.68,0.72,0.67,0.67,0.93,0.54
kindb.csv,0.77,0.65,0.71,0.76,0.67,0.34,0.52,0.69,0.63,0.72,0.55,0.3,0.64,0.72,0.55,0.83,0.67,0.34,0.89,0.64
maya-work-in-progress.csv,0.65,0.74,0.74,0.57,0.0,0.56,0.6,0.69,0.6,0.79,0.09,0.79,0.72,0.78,0.64,0.74,0.67,0.75,0.59,0.66
netatalk.csv,0.79,0.64,0.48,0.61,0.46,0.55,0.65,0.65,0.54,0.69,0.43,0.5,0.72,0.58,0.57,0.53,0.57,0.76,0.6,0.64
novembre.csv,0.68,0.65,0.18,0.33,0.26,0.37,0.73,0.53,0.55,0.46,0.45,0.83,0.11,0.53,0.48,0.8,0.62,0.76,0.76,0.43
ns-3.csv,0.7,0.69,0.39,0.1,0.44,0.66,0.36,0.28,0.56,0.5,0.6,0.17,0.6,0.13,0.46,0.24,0.41,0.13,0.35,0.63
nullc.csv,0.69,0.39,0.05,0.56,0.83,0.5,0.67,0.64,0.57,0.29,0.57,0.42,0.63,0.69,0.67,0.69,0.63,0.4,0.89,0.55
open-beos.csv,0.83,0.75,0.7,0.7,0.47,0.46,0.65,0.69,0.62,0.43,0.35,0.48,0.6,0.76,0.69,0.62,0.7,0.56,0.88,0.58
pixel-commandos.csv,0.05,0.54,0.31,0.51,0.22,0.18,0.45,0.24,0.17,0.07,0.1,0.09,0.22,0.42,0.46,0.37,0.44,0.33,0.99,0.23
planeshift.csv,0.09,0.3,0.24,0.05,0.47,0.65,0.63,0.73,0.53,0.66,0.62,0.38,0.69,0.71,0.58,0.67,0.37,0.64,0.64,0.58
plee-the-bear.csv,0.8,0.47,0.78,0.05,0.49,0.58,0.53,0.5,0.61,0.69,0.53,0.59,0.56,0.59,0.52,0.56,0.59,0.57,0.75,0.52
reaper-ecad.csv,0.53,0.31,0.52,0.78,0.26,0.06,0.09,0.41,0.15,0.04,0.21,0.0,0.34,0.0,0.34,0.22,0.49,0.17,0.29,0.17
sbml.csv,0.76,0.72,0.7,0.75,0.45,0.59,0.57,0.57,0.67,0.69,0.7,0.7,0.62,0.53,0.78,0.77,0.67,0.6,0.74,0.59
unimrcp.csv,0.73,0.68,0.68,0.81,0.48,0.5,0.52,0.72,0.61,0.73,0.17,0.74,0.63,0.49,0.65,0.76,0.67,0.48,0.72,0.63
unladen-swallow.csv,0.4,0.52,0.59,0.1,0.17,0.37,0.53,0.5,0.45,0.46,0.36,0.7,0.43,0.49,0.29,0.48,0.61,0.69,0.53,0.2
xmoto.csv,0.7,0.68,0.68,0.1,0.55,0.58,0.71,0.69,0.56,0.61,0.61,0.61,0.56,0.69,0.67,0.71,0.68,0.13,0.71,0.68
