,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,98.5,2047.5,99.0,98.5,2238.5,493.0,98.5,195.0,197.5,98.5
chrysalis.csv,98.5,312.0,96.5,98.5,671.0,97.5,98.5,91.5,98.5,98.5
jahshaka.csv,98.5,397.5,507.0,98.5,1213.5,196.5,98.5,91.5,98.5,98.5
jam-daq.csv,98.5,90.5,96.5,98.5,419.5,97.5,96.5,54.5,97.5,98.5
jatlas.csv,98.5,901.5,99.0,98.5,235.5,69.5,186.0,82.5,434.5,98.5
jedit.csv,98.5,1273.5,97.5,98.5,2226.5,97.5,98.5,192.0,98.5,98.5
mscore.csv,98.5,1335.0,97.5,98.5,1425.0,196.5,98.5,192.0,98.5,98.5
open-media-library.csv,98.5,236.5,97.5,98.5,520.5,295.0,98.5,94.5,98.5,794.5
panda3d.csv,98.5,221.0,559.5,95.5,735.5,570.5,98.5,94.5,291.5,98.5
wheat.csv,186.0,909.5,282.5,98.5,1111.0,295.0,98.5,192.0,98.5,98.5
