,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.63,0.94,0.67,0.35,0.46,0.67,0.0,0.93,0.44,0.89,0.0,0.88
fontforge.csv,0.42,0.3,0.4,0.38,0.34,0.35,0.37,0.42,0.43,0.37,0.38,0.41,0.45
gmerlin.csv,0.0,0.29,0.37,0.36,0.0,0.3,0.36,0.0,0.38,0.0,0.0,0.4,0.33
hatari.csv,0.43,0.42,0.58,0.39,0.36,0.45,0.42,0.29,0.46,0.34,0.39,0.69,0.54
jcl.csv,0.45,0.43,0.47,0.52,0.42,0.45,0.47,0.38,0.48,0.38,0.48,0.5,0.5
ltp.csv,0.9,0.4,0.46,0.58,0.5,0.44,0.43,0.48,0.6,0.63,0.44,0.9,0.77
net-snmp.csv,0.39,0.37,0.5,0.36,0.39,0.4,0.54,0.29,0.4,0.31,0.43,0.41,0.4
opde.csv,0.4,0.53,0.42,0.62,0.33,0.44,0.8,0.3,0.53,0.0,0.46,0.38,0.5
powerfolder-.csv,0.35,0.5,0.43,0.35,0.88,0.71,0.41,0.31,0.36,0.45,0.38,0.36,0.37
qlc.csv,0.0,0.29,0.0,0.5,0.46,0.41,0.55,0.0,0.52,0.91,0.53,0.0,0.59
tcl.csv,0.53,0.4,0.56,0.41,0.52,0.57,0.49,0.0,0.72,0.49,0.0,0.95,0.71
wxstudio.csv,0.53,0.5,0.56,0.58,0.52,0.47,0.52,0.34,0.74,0.4,0.89,0.5,0.45
