,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.19,0.08,0.13,0.02,0.11,0.12,0.09,0.26,0.09,0.0
flexpay.csv,0.31,0.92,0.0,0.56,0.95,0.6,0.84,0.67,0.13,0.73
jstock.csv,0.18,0.0,0.11,0.02,0.0,0.07,0.16,0.0,0.06,0.0
keyczar.csv,0.1,0.12,0.05,0.14,0.8,0.02,0.09,0.14,0.05,0.07
modellus.csv,0.5,0.5,0.45,0.3,0.55,0.0,0.34,0.26,0.36,0.53
open-data-kit.csv,0.48,0.33,0.46,0.49,0.22,0.63,0.0,0.3,0.33,0.2
phet.csv,0.0,0.54,0.46,0.42,0.29,0.37,0.52,0.44,0.44,0.2
qtractor.csv,0.37,0.0,0.23,0.21,0.13,0.26,0.09,0.14,0.07,0.07
sumatrapdf.csv,0.55,0.75,0.73,0.79,0.0,0.37,0.55,0.37,0.62,0.33
synergyspace.csv,0.38,0.0,0.08,0.21,0.15,0.63,0.68,0.21,0.0,0.0
