,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.21,0.54,0.28,0.98,0.43,0.29,0.32,0.15,0.11,0.29
flexpay.csv,0.32,0.68,0.97,0.33,0.43,0.48,0.64,0.17,0.05,0.89
jstock.csv,0.1,0.07,0.18,0.09,0.12,0.21,0.25,0.96,0.17,0.0
keyczar.csv,0.04,0.12,0.14,0.14,0.35,0.11,0.2,0.1,0.23,0.98
modellus.csv,0.25,0.55,0.29,0.45,0.61,0.98,0.43,0.5,0.23,0.65
open-data-kit.csv,0.29,0.53,0.22,0.38,0.46,0.5,0.99,0.37,0.31,0.45
phet.csv,0.98,0.14,0.22,0.27,0.12,0.26,0.39,0.44,0.11,0.5
qtractor.csv,0.12,1.0,0.25,0.46,0.51,0.56,0.33,0.27,0.17,0.28
sumatrapdf.csv,0.27,0.65,0.29,0.47,1.0,0.65,0.5,0.43,0.4,0.69
synergyspace.csv,0.28,0.13,0.12,0.06,0.38,0.57,0.61,0.09,0.98,0.0
