,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.24,0.85,0.29,0.95,0.62,0.62,0.79,0.15,0.18,1.0
flexpay.csv,0.28,0.54,1.0,0.27,0.31,0.45,0.59,0.12,0.07,0.81
jstock.csv,0.13,1.0,0.22,0.5,1.0,0.65,0.63,1.0,0.33,0.0
keyczar.csv,0.09,0.4,0.28,0.25,0.27,0.71,0.69,0.14,0.44,0.98
modellus.csv,0.19,0.56,0.2,0.43,0.47,1.0,0.62,0.42,0.18,0.77
open-data-kit.csv,0.22,0.62,0.16,0.32,0.52,0.47,1.0,0.32,0.25,0.83
phet.csv,1.0,0.19,0.15,0.25,0.16,0.36,0.51,0.32,0.08,0.85
qtractor.csv,0.11,1.0,0.22,0.5,0.65,0.66,0.8,0.33,0.3,0.89
sumatrapdf.csv,0.2,0.55,0.18,0.33,1.0,0.64,0.58,0.33,0.26,0.85
synergyspace.csv,0.23,1.0,0.2,0.1,0.53,0.51,0.61,0.1,1.0,0.0
