,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.77,0.89,1.0,0.4,0.68,0.93,0.88,0.61,0.83,0.76
arsenal-1.csv,0.91,0.92,0.43,0.96,0.96,0.96,0.92,0.93,0.93,0.94
barracudamvc.csv,0.38,0.88,1.0,0.98,0.97,0.79,0.95,0.95,0.93,1.0
irplus.csv,0.59,0.73,0.96,0.53,0.52,0.98,0.55,0.48,0.66,0.64
lite.csv,0.88,0.81,0.64,0.96,0.73,0.83,0.67,0.33,0.79,0.81
mumble.csv,0.61,0.91,0.88,0.83,0.33,0.6,0.86,0.66,0.83,0.59
ontopia.csv,0.88,0.88,0.67,0.75,0.63,0.31,0.67,0.86,0.64,0.76
openintents.csv,0.64,0.51,0.95,0.68,0.8,0.76,0.76,0.6,0.88,0.59
ta3d.csv,0.97,0.8,0.91,0.96,0.91,0.85,0.74,0.88,0.93,0.63
tweetsharp.csv,0.64,0.57,0.78,0.86,0.49,0.52,0.75,0.94,0.28,0.71
