,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.24,0.13,0.0,0.73,0.32,0.09,0.12,0.47,0.19,0.29
arsenal-1.csv,0.67,0.09,0.63,0.05,0.04,0.04,0.08,0.07,0.07,0.06
barracudamvc.csv,0.76,0.96,1.0,0.86,1.0,0.88,1.0,0.93,0.98,0.91
irplus.csv,0.78,0.78,0.04,0.77,0.8,0.42,0.52,0.67,0.62,0.6
lite.csv,0.54,0.43,0.63,0.05,0.32,0.29,0.36,0.8,0.24,0.2
mumble.csv,0.59,0.96,0.52,0.18,0.72,0.82,0.48,0.47,0.31,0.83
ontopia.csv,0.19,0.91,0.41,0.68,0.88,0.78,0.4,0.87,0.79,0.89
openintents.csv,0.5,0.61,0.85,0.95,0.32,0.33,0.88,0.87,0.43,0.54
ta3d.csv,0.39,0.26,0.93,0.05,0.16,0.32,0.28,0.13,0.07,0.54
tweetsharp.csv,0.44,0.65,0.89,0.82,0.8,0.5,0.48,0.87,0.81,0.57
