,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.93,0.33,0.0,0.64,0.62,0.7,0.6,0.37,0.73,0.71
arsenal-1.csv,0.8,0.4,0.71,0.5,0.14,0.75,0.5,0.33,1.0,1.0
barracudamvc.csv,0.93,0.43,0.47,0.39,0.28,0.86,0.37,0.26,0.75,0.67
irplus.csv,0.88,0.44,1.0,0.53,0.39,0.74,0.52,0.42,0.76,0.72
lite.csv,0.79,0.34,0.52,0.2,0.31,0.79,0.5,0.52,0.77,0.78
mumble.csv,0.87,0.42,0.38,0.44,0.62,0.89,0.29,0.3,0.65,0.76
ontopia.csv,0.74,0.42,0.52,0.42,0.35,0.95,0.43,0.27,0.79,0.72
openintents.csv,0.87,0.56,0.44,0.5,0.23,0.83,0.4,0.35,0.64,0.76
ta3d.csv,0.73,0.38,0.47,0.5,0.15,0.77,0.47,0.22,0.75,0.73
tweetsharp.csv,0.88,0.5,0.5,0.41,0.41,0.95,0.33,0.25,0.92,0.69
