,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.19,0.21,0.89,0.66,0.29,0.56,0.64,0.43
archive-crawler.csv,0.06,0.19,0.46,0.39,0.46,0.28,0.28,0.21
jcae.csv,0.0,0.32,0.91,0.69,0.38,0.59,0.89,0.39
openmalaria.csv,0.15,0.11,0.75,0.78,0.31,0.42,0.4,0.27
popeye-chess.csv,0.24,0.14,0.71,0.68,0.36,0.7,0.49,0.38
rhex.csv,0.35,0.13,0.75,0.72,0.29,1.0,0.37,0.33
rocrail.csv,0.18,0.13,0.82,0.64,0.39,0.57,0.41,0.59
truevision.csv,0.15,0.11,0.74,0.57,0.25,0.42,0.68,0.33
