,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.51,0.83,0.51,0.73,0.32,0.71,0.9,0.13,0.22,0.21,0.11,1.0,0.17,0.8,0.0,0.61
galaxium.csv,0.81,0.94,0.5,0.39,0.39,0.25,0.58,0.54,0.31,0.71,0.15,1.0,0.15,0.54,0.09,0.67
hydrate.csv,0.76,1.0,0.46,0.5,0.27,0.13,0.58,0.08,0.25,0.41,0.19,1.0,0.22,0.66,0.67,0.73
ivef-sdk.csv,0.67,0.93,0.52,0.68,0.3,1.0,0.28,1.0,0.28,0.19,0.0,0.87,0.18,0.59,0.04,0.0
jmri.csv,0.85,0.95,0.62,0.36,0.12,1.0,0.46,0.42,0.54,0.3,0.21,0.86,0.22,1.0,0.25,0.64
jython.csv,0.68,0.86,0.57,0.62,0.27,0.73,0.49,0.44,0.26,0.29,0.13,0.89,0.2,0.6,0.09,0.58
kdenlive.csv,0.8,0.91,0.56,0.48,0.4,0.6,0.44,0.13,0.37,0.35,0.15,0.93,0.2,0.63,0.09,0.71
ninject.csv,0.37,0.77,0.47,0.64,0.22,0.7,0.68,0.67,0.12,0.29,0.1,0.94,0.08,0.77,0.33,0.71
ondex.csv,0.81,1.0,0.56,0.68,0.09,0.0,0.42,0.11,0.6,0.43,0.25,0.94,0.29,0.62,0.2,0.53
opentibia.csv,0.69,0.96,0.63,0.74,0.35,0.67,0.5,0.3,0.4,0.31,0.12,1.0,0.18,0.6,0.18,0.63
runuomondains.csv,0.95,0.94,0.62,0.33,0.18,0.23,0.39,0.37,0.71,0.48,0.38,1.0,0.22,0.58,0.22,0.71
somap.csv,0.63,0.87,0.46,0.63,0.38,0.56,0.49,0.12,0.24,0.3,0.11,1.0,0.16,0.62,0.1,0.63
taverna.csv,0.93,0.94,0.52,0.56,0.62,0.43,0.6,0.06,0.55,0.35,0.4,1.0,0.34,0.58,0.0,1.0
tigermud.csv,0.49,0.82,0.46,0.0,0.39,0.0,0.33,0.08,0.0,0.27,0.17,1.0,0.15,0.73,0.25,0.67
unbvision.csv,0.78,0.95,0.58,0.5,0.28,0.56,0.41,0.29,0.5,0.38,0.17,0.92,0.2,0.67,0.15,0.73
x-ray-mule.csv,0.59,1.0,0.32,0.79,0.33,0.0,0.17,1.0,0.23,0.2,0.0,0.92,0.19,0.8,0.05,0.0
