,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.48,0.53,0.74,0.26,0.78,0.96,0.45,0.75,0.37,0.8,0.92,0.5
galaxium.csv,0.4,0.4,0.46,0.35,0.52,0.6,0.47,0.96,0.42,0.53,0.39,0.38,0.39,0.49,0.59,0.41
hydrate.csv,0.5,0.55,0.45,0.7,0.64,0.52,0.61,0.26,0.53,0.69,0.48,0.52,0.94,0.47,0.67,0.36
ivef-sdk.csv,0.44,0.48,0.63,0.48,0.6,0.61,0.72,0.0,0.47,0.65,0.75,0.56,0.57,0.94,0.51,0.0
jmri.csv,0.48,0.57,0.52,0.5,0.56,0.85,0.51,0.96,0.71,0.78,0.79,0.55,0.78,0.8,0.75,0.82
jython.csv,0.42,0.54,0.67,0.46,0.48,0.47,0.42,0.98,0.54,0.53,0.5,0.44,0.47,0.67,0.4,0.52
kdenlive.csv,0.37,0.42,0.42,0.41,0.37,0.55,0.52,0.26,0.43,0.41,0.42,0.37,0.34,0.37,0.46,0.33
ninject.csv,0.83,0.97,0.51,0.68,0.67,0.52,0.77,0.67,0.76,0.43,0.85,0.48,0.86,0.59,0.6,0.39
ondex.csv,0.54,0.62,0.56,0.55,0.91,0.8,0.58,0.26,0.93,0.93,0.65,0.88,0.75,0.75,0.9,0.73
opentibia.csv,0.58,0.47,0.74,0.74,0.51,0.67,0.43,0.95,0.8,0.67,0.65,0.57,0.98,0.48,0.82,0.42
runuomondains.csv,0.74,0.72,0.53,0.83,0.55,0.43,0.56,0.82,0.82,0.67,0.75,0.58,0.92,0.58,0.78,0.43
somap.csv,0.43,0.46,0.38,0.43,0.4,0.47,0.49,0.26,0.49,0.37,0.44,0.38,0.31,0.43,0.4,0.37
taverna.csv,0.93,0.88,0.85,0.56,0.62,0.71,0.65,0.24,0.91,0.77,0.7,0.9,0.9,0.75,0.75,0.75
tigermud.csv,0.95,0.9,0.51,0.75,0.58,0.0,0.83,0.32,0.5,0.62,0.65,0.51,0.66,0.58,0.67,0.37
unbvision.csv,0.42,0.38,0.5,0.42,0.48,0.47,0.5,0.66,0.52,0.47,0.43,0.83,0.32,0.47,0.62,0.4
x-ray-mule.csv,0.86,0.91,0.99,0.61,0.67,0.0,0.92,0.0,0.57,0.89,0.0,0.62,0.75,0.9,0.86,0.0
