,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,9.0,68.0,51.0,42.0,1.0,0.0,9.0,1.0,5.0,0.0,8.0,0.0,7.0,6.0,16.0,0.0,20.0,5.0,13.0,10.0
galaxium.csv,0.0,2.0,7.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,18.0,1.0,6.0,4.0
itext.csv,35.0,20.0,9.0,8.0,0.0,1.0,2.0,1.0,5.0,1.0,19.0,0.0,8.0,0.0,1.0,0.0,15.0,1.0,94.0,4.0
jahshakafx.csv,0.0,15.0,9.0,25.0,0.0,0.0,1.0,0.0,0.0,2.0,38.0,5.0,4.0,6.0,2.0,0.0,8.0,0.0,2.0,13.0
kolmafia.csv,10.0,18.0,12.0,9.0,0.0,0.0,4.0,0.0,3.0,4.0,14.0,0.0,10.0,0.0,22.0,3.0,23.0,0.0,26.0,2.0
mecat.csv,338.0,0.0,553.0,189.0,60.0,222.0,54.0,123.0,49.0,107.0,938.0,0.0,0.0,63.0,0.0,65.0,0.0,85.0,94.0,118.0
mp-rechnungs-und-kundenverwaltung.csv,69.0,3.0,22.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,65.0,0.0,5.0,9.0,2.0,0.0,7.0,5.0,21.0,17.0
mptvseries.csv,2.0,3.0,49.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,6.0,2.0,1.0,2.0,2.0,7.0,0.0,3.0,10.0
novembre.csv,0.0,19.0,23.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,11.0,2.0,1.0,0.0,0.0,0.0,3.0,85.0,4.0,4.0
ns-3.csv,60.0,2.0,33.0,68.0,0.0,0.0,4.0,0.0,11.0,7.0,32.0,3.0,5.0,4.0,26.0,0.0,38.0,3.0,6.0,12.0
nullc.csv,59.0,3.0,57.0,80.0,0.0,0.0,6.0,0.0,4.0,1.0,37.0,0.0,9.0,9.0,2.0,0.0,20.0,6.0,39.0,5.0
pixel-commandos.csv,4.0,14.0,6.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,148.0,0.0,63.0,0.0,0.0,62.0,0.0,0.0,118.0
plee-the-bear.csv,97.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,69.0,0.0,7.0,10.0,0.0,0.0,23.0,5.0,44.0,5.0
quantlib.csv,0.0,10.0,7.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,12.0,0.0,3.0,5.0,0.0,0.0,26.0,1.0,0.0,0.0
reaper-ecad.csv,104.0,3.0,26.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,68.0,0.0,7.0,10.0,104.0,0.0,21.0,7.0,43.0,5.0
sbml.csv,4.0,28.0,77.0,16.0,0.0,1.0,0.0,3.0,5.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,12.0,2.0,8.0,0.0
smartgwt.csv,24.0,17.0,2.0,45.0,0.0,3.0,0.0,0.0,3.0,6.0,6.0,1.0,10.0,3.0,1.0,0.0,6.0,5.0,20.0,8.0
unladen-swallow.csv,11.0,0.0,46.0,51.0,1.0,1.0,3.0,0.0,6.0,7.0,82.0,0.0,6.0,9.0,10.0,0.0,13.0,5.0,94.0,3.0
vienna-add-in.csv,108.0,56.0,21.0,70.0,0.0,0.0,4.0,0.0,6.0,7.0,50.0,8.0,6.0,9.0,1.0,3.0,14.0,6.0,94.0,2.0
wow-qrsk.csv,4.0,1.0,30.0,48.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,11.0,2.0,8.0,118.0
