,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.32,0.13,0.04,0.12,0.06,0.0,0.15,0.04,0.02,0.12,0.0,0.13,0.0,0.0
chaperon.csv,0.09,0.39,0.67,0.46,0.0,0.31,0.38,0.48,0.08,0.24,0.46,0.0,0.42,0.29,0.55
co-ode-owl-plugins.csv,0.09,0.71,0.13,0.14,0.62,0.65,0.5,0.52,0.58,0.22,0.62,0.0,0.18,0.23,0.03
e-bio-flow.csv,0.0,0.48,0.09,0.1,0.31,0.23,0.16,0.15,0.38,0.22,0.28,0.0,0.1,0.15,0.17
free-evolution.csv,0.09,0.71,0.67,0.88,0.62,0.54,0.38,0.96,0.19,0.33,0.56,0.0,0.38,0.35,0.52
jaxlib.csv,0.0,0.32,0.24,0.06,0.69,0.33,0.14,0.06,0.73,0.7,0.32,0.0,0.45,0.33,0.07
jmonkeyengine.csv,0.91,0.42,0.5,0.2,0.56,0.62,0.64,0.1,0.79,0.6,0.38,1.0,0.45,0.87,0.55
jmule.csv,0.18,0.61,0.72,0.82,0.81,0.52,0.51,0.96,0.71,0.57,0.51,0.0,0.45,0.4,0.14
kaffeine.csv,0.09,0.45,0.52,0.58,0.94,0.63,0.74,0.94,0.52,0.68,0.43,0.0,0.6,0.58,0.48
nodal.csv,0.09,0.13,0.17,0.28,0.31,0.15,0.27,0.48,0.17,0.19,0.15,0.0,0.1,0.11,0.1
ogrehg.csv,0.0,0.48,0.43,0.48,0.5,0.71,0.27,0.62,0.35,0.11,0.46,1.0,0.27,0.19,0.14
onotoa.csv,0.09,0.39,0.11,0.54,0.5,0.56,0.74,0.33,0.52,0.19,0.38,1.0,0.28,0.37,0.07
papertoolkit.csv,0.0,0.23,0.35,0.12,0.19,0.38,0.2,0.6,0.02,0.13,0.49,0.0,0.17,0.05,0.38
