,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.98,0.77,0.0,0.0,0.95,0.94,0.93,0.75,0.81,0.92,0.98,0.95,0.9,0.72
dvt.csv,0.44,0.65,0.42,0.92,0.58,0.59,0.64,0.0,0.66,0.5,0.51,0.61,0.86,0.54
flylinkdc.csv,0.51,0.48,0.27,0.56,0.46,0.54,0.48,0.37,0.62,0.44,0.35,0.47,0.4,0.46
fulguro.csv,0.88,0.39,0.41,0.73,0.58,0.77,0.88,0.35,0.74,0.68,0.56,0.76,0.47,0.74
gnome-jabber.csv,0.39,0.43,0.4,0.59,0.47,0.42,0.52,0.36,0.52,0.36,0.45,0.56,0.38,0.5
ipfire-wall.csv,0.83,0.75,0.42,0.7,0.68,0.67,0.8,0.57,0.71,0.48,0.91,0.63,0.83,0.79
jruby.csv,0.46,0.94,0.26,0.53,0.86,0.93,0.0,0.65,0.5,0.0,0.8,0.58,0.48,0.0
ldview.csv,0.36,0.43,0.42,0.7,0.42,0.47,0.63,0.48,0.75,0.36,0.46,0.45,0.39,0.43
maidsafe-dht.csv,0.92,0.71,0.99,0.83,0.71,0.53,0.67,0.42,0.61,0.39,0.86,0.91,0.6,0.88
nuttx.csv,0.7,0.94,0.94,0.75,0.88,0.94,0.52,0.93,0.92,0.59,0.59,0.65,0.6,0.92
oorexx.csv,0.39,0.58,0.47,0.61,0.38,0.4,0.43,0.56,0.48,0.38,0.32,0.41,0.44,0.48
red5.csv,0.38,0.35,0.44,0.6,0.38,0.55,0.51,0.41,0.47,0.38,0.52,0.45,0.44,0.41
vdsf.csv,0.44,0.45,0.99,0.68,0.44,0.64,0.61,0.35,0.54,0.37,0.53,0.49,0.41,0.46
xbrlapi.csv,0.94,0.49,0.0,0.75,0.85,0.76,0.4,0.42,0.83,0.64,0.0,0.5,0.44,0.5
