,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.25,0.41,0.0,0.0,0.24,0.41,0.33,0.09,0.82,0.13,0.48,0.17,0.13,0.45
dvt.csv,0.59,0.29,0.63,0.06,0.24,0.69,0.39,0.02,0.69,0.44,0.47,0.37,0.07,0.2
flylinkdc.csv,0.74,0.56,0.13,0.34,0.61,0.39,0.46,0.41,0.46,0.7,0.41,0.21,0.0,0.54
fulguro.csv,0.0,0.5,0.51,0.51,0.52,0.35,0.34,0.41,0.55,0.36,0.0,0.47,0.47,0.48
gnome-jabber.csv,0.55,0.55,0.39,0.54,0.55,0.71,0.5,0.48,0.43,0.58,0.63,0.4,0.46,0.38
ipfire-wall.csv,0.4,0.28,0.66,0.47,0.72,0.3,0.06,0.47,0.32,0.78,0.15,0.51,0.28,0.4
jruby.csv,0.55,0.14,0.0,0.0,0.09,0.15,0.0,0.32,0.0,0.0,0.05,0.66,0.56,0.0
ldview.csv,0.17,0.51,0.66,0.48,0.47,0.51,0.65,0.52,0.22,0.45,0.68,0.44,0.4,0.6
maidsafe-dht.csv,0.19,0.33,0.3,0.11,0.67,0.22,0.34,0.52,0.17,0.81,0.1,0.09,0.32,0.11
nuttx.csv,0.48,0.2,0.04,0.64,0.25,0.06,0.51,0.19,0.43,0.25,0.28,0.34,0.46,0.11
oorexx.csv,0.63,0.32,0.4,0.31,0.67,0.41,0.57,0.46,0.36,0.54,0.47,0.41,0.61,0.52
red5.csv,0.47,0.35,0.47,0.55,0.47,0.47,0.38,0.68,0.3,0.48,0.0,0.46,0.56,0.0
vdsf.csv,0.48,0.59,0.39,0.19,0.44,0.52,0.65,0.0,0.49,0.38,0.0,0.37,0.39,0.47
xbrlapi.csv,0.19,0.66,0.0,0.02,0.25,0.23,0.37,0.52,0.12,0.44,0.0,0.02,0.47,0.65
