,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.08,0.15,0.37,0.24,0.54,0.23,0.98,0.26,0.32,0.52,0.11,0.57
bscwweasel.csv,0.04,0.0,0.19,0.92,0.46,0.27,0.0,0.24,0.14,0.37,0.0,0.0
capcode.csv,0.02,0.19,0.33,0.35,0.0,1.0,0.27,0.1,0.14,0.37,0.0,0.11
emite.csv,0.09,0.17,0.29,0.14,0.23,0.07,0.74,0.25,0.39,0.33,0.14,1.0
lamp.csv,0.02,0.89,0.2,0.19,0.35,0.18,0.2,0.1,0.5,0.43,0.15,0.06
mecat.csv,0.0,0.0,0.04,0.09,0.0,0.16,0.0,0.04,0.08,0.2,1.0,0.0
nodal.csv,0.06,0.19,0.4,0.1,0.47,0.18,0.53,0.11,0.93,0.36,0.0,0.53
pydev.csv,0.15,0.18,0.42,0.26,0.57,0.18,0.77,0.36,0.27,0.99,0.11,0.54
retromenu.csv,0.02,0.13,0.35,0.36,1.0,0.26,0.12,0.22,0.28,0.52,0.18,0.22
smbopensoft.csv,0.96,0.21,0.33,0.32,0.62,0.06,0.43,0.28,0.18,0.28,0.07,0.31
stuproa-cims.csv,0.59,0.29,0.37,0.37,0.51,0.29,0.36,0.92,0.43,0.55,0.12,0.43
thout.csv,0.04,0.08,0.94,0.17,0.5,0.14,0.69,0.39,0.33,0.35,0.09,0.56
