,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.05,0.33,0.48,0.58,0.63,0.54,0.97,0.38,0.48,0.64,0.62,0.53
bscwweasel.csv,0.02,0.0,0.13,0.88,0.43,0.46,0.0,0.19,0.11,0.32,0.0,0.0
capcode.csv,0.01,0.33,0.36,0.5,0.0,1.0,0.2,0.06,0.16,0.4,0.0,0.07
emite.csv,0.06,0.53,0.48,0.23,0.27,0.1,0.62,0.29,0.43,0.37,0.65,1.0
lamp.csv,0.01,0.88,0.17,0.18,0.33,0.2,0.13,0.06,0.44,0.38,0.38,0.04
mecat.csv,0.0,0.0,0.02,0.06,0.0,0.2,0.0,0.02,0.05,0.13,1.0,0.0
nodal.csv,0.04,0.58,0.44,0.18,0.48,0.29,0.44,0.09,0.89,0.37,0.0,0.51
pydev.csv,0.1,0.17,0.44,0.44,0.72,0.36,0.68,0.45,0.41,0.98,0.62,0.52
retromenu.csv,0.01,0.33,0.35,0.35,1.0,0.37,0.07,0.16,0.34,0.63,0.38,0.16
smbopensoft.csv,0.95,0.47,0.4,0.49,0.76,0.1,0.34,0.29,0.16,0.29,0.36,0.23
stuproa-cims.csv,0.57,0.74,0.6,0.63,0.58,0.65,0.29,0.88,0.61,0.67,0.6,0.43
thout.csv,0.02,0.24,0.92,0.38,0.64,0.34,0.58,0.53,0.49,0.39,0.54,0.51
