,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,xreal.csv
agilitybook.csv,0.92,0.17,0.0,0.07,0.3,0.53,0.29,0.8
apolloplayer.csv,0.42,0.83,0.0,0.07,0.38,0.27,0.43,0.0
k3d.csv,0.05,0.33,0.0,0.0,0.13,0.97,0.0,0.0
kowari.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.71,0.0
redshell.csv,1.0,1.0,1.0,1.0,1.0,0.83,0.86,0.2
rtb-team.csv,0.39,0.5,1.0,0.93,0.32,0.43,0.57,0.8
xreal.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0
