,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,1.0,1.0,0.0,0.0,0.98,0.02,0.0,1.0,0.82,1.0,0.0,1.0,0.28,0.0,1.0,1.0,1.0,0.0,0.0,1.0
fbmanager.csv,0.19,0.03,0.0,0.0,0.35,0.04,0.36,0.56,0.17,0.2,0.43,0.14,0.17,0.0,0.11,0.0,0.62,0.16,0.0,0.02
fleet-simulator.csv,0.81,0.36,0.5,0.72,0.81,0.75,1.0,0.57,0.84,0.96,0.93,1.0,0.67,0.86,0.66,0.0,0.64,0.79,0.89,0.54
hannosset.csv,0.13,0.18,0.12,0.05,0.06,0.26,0.21,0.04,0.17,0.1,0.07,0.23,0.11,0.03,0.2,0.12,0.51,0.21,0.58,0.56
hydrate.csv,0.19,0.15,0.75,0.37,0.62,0.18,0.57,0.39,0.61,0.2,0.79,0.09,0.44,0.73,0.32,0.0,0.13,0.37,0.42,0.07
jgossipforum.csv,0.23,0.16,0.12,0.15,0.28,0.51,0.57,0.06,0.21,0.29,0.5,0.45,0.56,0.29,0.14,0.0,0.04,0.26,0.05,0.06
jruby.csv,0.1,0.61,0.12,0.2,0.83,0.22,0.64,0.41,0.73,0.22,0.71,0.14,0.0,0.26,0.14,0.0,0.6,0.42,0.74,0.44
madman.csv,0.19,0.8,0.0,0.59,0.29,0.45,0.29,0.49,0.36,0.24,0.0,0.38,0.17,0.14,0.34,0.88,0.73,0.53,0.0,0.83
mediaportal.csv,0.0,0.05,0.0,0.19,0.01,0.21,0.14,0.0,0.05,0.08,0.14,0.17,0.0,0.27,0.09,0.0,0.02,0.11,0.63,0.02
ninject.csv,0.23,0.33,0.62,0.28,0.58,0.51,0.71,0.33,0.6,0.22,0.29,0.29,0.28,0.42,0.16,1.0,0.11,0.21,0.42,0.33
officefloor.csv,0.1,0.03,0.0,0.25,0.07,0.35,0.36,0.01,0.71,0.37,0.36,0.75,0.11,0.42,0.22,0.0,0.11,0.53,0.21,0.06
ontopia.csv,0.23,0.97,0.88,0.42,0.05,0.66,0.14,0.11,0.13,0.71,0.86,0.68,0.67,0.4,0.14,0.88,0.04,0.16,0.53,0.06
poormans.csv,0.26,0.07,0.5,0.34,0.01,0.33,0.29,0.07,0.21,0.31,0.5,0.25,0.17,0.75,0.15,0.0,0.02,0.32,0.74,0.02
power-architect.csv,0.97,0.92,1.0,0.83,0.77,0.97,0.86,0.53,0.83,0.96,0.14,1.0,0.94,0.93,0.8,1.0,0.49,1.0,1.0,0.69
powerfolder.csv,0.39,0.15,0.0,0.12,0.47,0.48,0.57,0.3,0.09,0.29,0.21,0.59,0.33,0.22,0.2,0.12,0.44,0.53,0.05,0.33
stuproa-cims.csv,0.0,0.16,0.0,0.23,0.2,0.06,0.29,0.16,0.1,0.06,0.43,0.01,0.0,0.21,0.06,0.0,0.64,0.26,0.42,0.48
tart.csv,0.42,0.02,0.25,0.54,0.15,0.18,0.36,0.49,0.15,0.24,0.5,0.51,0.72,0.41,0.57,0.0,0.31,0.26,0.32,0.2
uface.csv,0.68,0.64,1.0,0.98,0.61,0.85,0.36,0.63,0.69,0.71,0.93,0.8,0.94,0.84,0.81,0.0,0.76,0.84,0.79,0.06
wxlua.csv,0.61,0.46,0.5,0.14,0.01,0.64,0.36,0.4,0.18,0.41,0.29,0.67,0.56,0.38,0.7,1.0,0.93,0.21,0.53,0.2
