,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.55,0.5,0.63,0.04,0.58,0.53,0.72,0.71,0.55,0.6,0.67,0.59
gmerlin.csv,0.81,0.65,0.9,0.87,0.73,0.67,0.03,0.87,0.8,0.66,0.82,0.78
google-gears.csv,0.63,0.54,0.5,0.72,0.74,0.88,0.73,0.02,0.67,0.57,0.74,0.66
gstreamer.csv,0.58,0.64,0.59,0.53,0.66,0.5,0.62,0.63,0.02,0.67,0.76,0.65
lportal.csv,0.7,0.85,0.91,0.89,0.91,0.15,0.68,0.9,0.95,0.83,0.87,0.98
metacosm.csv,0.58,0.56,0.75,0.71,0.73,0.66,0.82,0.76,0.71,0.67,0.64,0.04
mplayer-ce.csv,0.96,0.9,0.9,0.87,0.65,0.82,0.81,0.88,0.91,0.81,0.06,0.8
openmeetings.csv,0.68,0.09,0.64,0.77,0.6,0.59,0.66,0.78,0.7,0.58,0.71,0.52
qgis.csv,0.58,0.45,0.01,0.68,0.65,0.63,0.7,0.63,0.61,0.66,0.68,0.39
skia.csv,0.75,0.69,0.82,0.77,0.67,0.68,0.81,0.82,0.76,0.04,0.78,0.89
wxcrp.csv,0.06,0.47,0.76,0.8,0.78,0.69,0.79,0.8,0.82,0.6,0.7,0.71
yafdotnet.csv,0.58,0.61,0.68,0.67,0.04,0.7,0.62,0.47,0.74,0.74,0.75,0.7
