,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.46,0.22,0.64,1.0,0.58,0.06,0.35,0.81,0.76,0.41,0.49,0.55
gmerlin.csv,0.5,0.35,0.56,0.7,0.72,0.05,0.97,0.77,0.72,0.62,0.5,0.75
google-gears.csv,0.36,0.24,0.62,0.66,0.41,0.03,0.31,1.0,0.63,0.42,0.48,0.55
gstreamer.csv,0.37,0.17,0.57,0.74,0.46,0.07,0.39,0.86,0.99,0.37,0.45,0.52
lportal.csv,0.3,0.12,0.38,0.57,0.32,0.97,0.35,0.62,0.4,0.26,0.42,0.21
metacosm.csv,0.48,0.4,0.75,0.73,0.72,0.07,0.29,0.9,0.65,0.5,0.5,1.0
mplayer-ce.csv,0.26,0.13,0.47,0.62,0.46,0.04,0.32,0.76,0.53,0.36,1.0,0.44
openmeetings.csv,0.42,1.0,0.58,0.58,0.65,0.07,0.35,0.71,0.58,0.48,0.51,0.62
qgis.csv,0.37,0.35,0.99,0.71,0.58,0.06,0.36,0.8,0.65,0.37,0.47,0.7
skia.csv,0.44,0.17,0.55,0.58,0.53,0.05,0.33,0.72,0.66,1.0,0.62,0.5
wxcrp.csv,1.0,0.41,0.8,0.73,0.61,0.04,0.54,0.79,0.82,0.53,0.6,0.48
yafdotnet.csv,0.38,0.2,0.51,0.65,0.99,0.05,0.38,0.87,0.6,0.31,0.49,0.49
