,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.27,0.44,0.41,0.56,0.61,0.7,0.61,0.41,0.54,0.39,0.73,0.58,0.6,0.47,0.57,0.47,0.26,0.44
cornerstone.csv,0.53,0.74,0.67,0.63,0.79,0.71,0.89,0.72,0.99,0.94,0.43,0.46,0.79,0.66,0.95,0.57,0.52,0.95
emeraldemu.csv,0.58,0.49,0.58,0.95,0.84,0.77,0.49,0.35,0.67,0.39,0.75,0.89,0.73,1.0,0.52,0.47,0.52,0.52
grafx2.csv,0.56,0.51,0.52,0.47,0.63,0.69,0.63,0.46,0.63,0.44,0.72,0.53,0.63,0.32,0.63,0.58,0.54,0.55
jahshakafx.csv,0.31,0.44,0.55,0.47,0.7,0.75,0.59,0.48,0.54,0.49,0.61,0.7,0.47,0.53,0.47,0.46,0.29,0.48
maya-work-in-progress.csv,0.66,0.45,0.46,0.5,0.74,0.59,0.81,0.66,0.77,0.25,0.89,0.65,0.73,0.49,0.67,0.68,0.82,0.71
novembre.csv,0.56,0.54,0.52,0.76,0.92,0.7,0.42,0.63,0.62,0.54,0.67,0.7,0.88,0.73,0.55,0.53,0.52,0.85
ns-3.csv,0.46,0.44,0.69,0.46,0.66,0.53,0.9,0.8,0.69,0.58,0.56,1.0,0.75,0.98,0.83,0.79,0.98,0.71
nullc.csv,0.75,1.0,1.0,0.99,0.36,0.61,0.54,0.55,0.63,0.66,0.7,0.65,0.67,0.47,0.56,0.77,0.36,0.36
open-beos.csv,0.41,0.49,0.45,0.51,0.55,0.65,0.59,0.6,0.44,0.63,0.7,0.92,0.69,0.79,0.36,0.51,0.41,0.51
pixel-commandos.csv,0.97,0.71,0.79,0.66,0.8,0.85,0.74,0.86,0.88,0.94,0.95,1.0,0.88,0.67,0.6,0.74,0.07,0.77
planeshift.csv,0.99,0.8,0.9,0.99,0.84,0.75,0.7,0.53,0.8,0.56,0.6,0.89,0.39,0.4,0.71,0.82,0.85,0.83
plee-the-bear.csv,0.37,0.62,0.32,0.96,0.75,0.73,0.65,0.75,0.65,0.38,0.75,0.69,0.68,0.69,0.75,0.59,0.56,0.77
reaper-ecad.csv,0.74,0.86,0.91,0.33,0.84,0.97,0.93,0.82,0.95,0.97,0.86,1.0,0.94,1.0,0.97,0.87,0.75,0.98
sbml.csv,0.39,0.45,0.62,0.6,0.67,0.58,0.82,0.77,0.5,0.7,0.66,0.61,0.7,0.46,0.39,0.49,0.62,0.77
unimrcp.csv,0.58,0.54,0.52,0.5,0.63,0.67,0.75,0.49,0.65,0.45,0.87,0.42,0.56,0.56,0.49,0.58,0.56,0.59
unladen-swallow.csv,0.78,0.6,0.6,0.96,0.81,0.68,0.73,0.65,0.68,0.66,0.71,0.44,0.7,0.57,0.89,0.53,0.62,0.87
zxing.csv,0.37,0.52,0.45,0.5,0.43,0.77,0.52,0.41,0.62,0.66,0.76,0.74,0.51,0.59,0.51,0.55,0.38,0.37
