,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.75,0.39,0.31,0.25,0.67,0.48,0.33,0.27,0.76,0.35
chaosrts.csv,0.71,0.75,0.29,0.24,0.35,0.48,0.36,0.14,0.76,0.87
lazarus-ccr.csv,0.78,0.78,0.29,0.2,0.74,0.55,0.37,0.33,0.76,0.89
linuxsh.csv,0.72,0.52,0.33,0.18,0.64,0.41,0.0,0.11,0.25,0.16
migen.csv,0.7,0.4,0.31,0.37,0.65,0.64,0.09,0.1,0.28,0.75
moviesandbox.csv,0.76,0.43,0.4,0.27,0.69,0.55,0.15,0.11,0.26,0.72
sauerbraten.csv,0.81,0.71,0.29,0.22,0.73,0.56,0.44,0.35,0.75,0.91
scite-ru.csv,0.79,0.64,0.29,0.24,0.7,0.62,0.42,0.35,0.56,0.94
vrjuggler.csv,0.0,0.13,0.0,0.0,0.12,0.2,0.26,0.46,0.02,0.29
xuggle.csv,0.74,0.59,0.28,0.44,0.66,0.54,0.48,0.14,0.7,0.53
