,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.33,0.41,0.55,0.47,0.42,0.44,0.52,0.4,0.51,0.67
chaosrts.csv,0.35,0.4,0.44,0.48,0.95,0.39,0.47,0.92,0.45,0.47
lazarus-ccr.csv,0.34,0.48,0.44,0.52,0.44,0.39,0.58,0.53,0.45,0.44
linuxsh.csv,0.36,0.53,0.76,0.98,0.45,0.66,0.67,0.67,0.96,0.93
migen.csv,0.4,0.54,0.87,0.72,0.42,0.47,0.5,0.75,0.93,0.45
moviesandbox.csv,0.37,0.63,0.93,0.82,0.4,0.61,0.83,0.67,0.96,0.53
sauerbraten.csv,0.39,0.4,0.44,0.5,0.41,0.44,0.33,0.36,0.4,0.4
scite-ru.csv,0.32,0.35,0.44,0.49,0.39,0.39,0.76,0.38,0.54,0.38
vrjuggler.csv,0.0,0.86,0.0,0.0,0.88,0.94,0.88,0.61,0.0,0.96
xuggle.csv,0.36,0.4,0.39,0.61,0.38,0.38,0.36,0.52,0.38,0.56
