,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,4.0,1.0,2.0,60.0,2.0,2.0,1.0,7.0,1.0,0.0
chaosrts.csv,7.0,0.0,4.0,49.0,1.0,6.0,8.0,3.0,1.0,1.0
lazarus-ccr.csv,4.0,0.0,4.0,110.0,2.0,7.0,7.0,14.0,1.0,2.0
linuxsh.csv,1.0,5.0,2.0,23.0,1.0,2.0,72.0,1.0,0.0,0.0
migen.csv,3.0,3.0,4.0,27.0,0.0,1.0,1.0,0.0,1.0,2.0
moviesandbox.csv,4.0,5.0,3.0,38.0,0.0,1.0,4.0,0.0,0.0,2.0
sauerbraten.csv,0.0,1.0,4.0,73.0,2.0,2.0,10.0,14.0,2.0,2.0
scite-ru.csv,2.0,5.0,3.0,56.0,2.0,2.0,0.0,7.0,0.0,2.0
vrjuggler.csv,62.0,3.0,65.0,415.0,1.0,4.0,8.0,7.0,0.0,2.0
xuggle.csv,1.0,1.0,8.0,10.0,1.0,1.0,0.0,12.0,1.0,1.0
