,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.96,0.0,0.4,0.82,0.49,0.21,0.25,0.11,0.54,0.26,0.61,0.28
gdis.csv,0.58,0.85,0.72,0.79,0.72,0.64,0.79,0.78,0.08,0.78,0.86,0.77
kml.csv,0.42,0.51,0.37,0.34,0.03,0.17,0.23,0.29,0.31,0.77,0.2,0.65
ppcboot.csv,0.29,0.46,0.46,0.0,0.38,0.31,0.21,0.44,0.46,0.77,0.49,0.94
repositorium.csv,0.46,0.57,0.49,0.8,0.54,0.0,0.08,0.22,0.77,0.51,0.49,0.59
rsyslog.csv,0.0,0.53,0.43,0.64,0.31,0.49,0.41,0.36,0.38,0.7,0.45,0.84
simplewebservices.csv,0.92,0.16,0.41,0.42,0.49,0.0,0.05,0.05,0.77,0.21,0.41,0.0
ultimairis.csv,0.54,0.78,0.66,0.61,0.41,0.37,0.0,0.89,0.54,0.82,0.71,0.82
wow-qrsk.csv,0.83,0.54,0.0,0.96,0.23,0.02,0.02,0.33,0.54,0.42,0.2,0.23
wxstudio.csv,0.33,0.15,0.54,0.38,0.26,0.09,0.17,0.16,0.46,0.16,0.02,0.04
xbg.csv,0.04,0.12,0.15,0.15,0.13,0.07,0.06,0.0,0.08,0.24,0.2,0.51
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
