,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.04,0.29,0.01,0.02,0.07,0.12,0.0,0.1,0.0,0.11,0.03,0.03,0.0,0.0,0.0
atlc.csv,0.41,0.54,0.6,0.68,0.0,0.76,0.49,0.46,0.38,0.92,0.69,0.53,0.0,0.61,0.74
ipfilter.csv,0.91,0.46,0.67,1.0,0.9,0.84,0.89,0.53,0.98,0.74,0.78,0.71,1.0,0.78,0.0
liferea.csv,0.14,0.12,0.31,0.0,0.03,0.08,0.37,0.22,0.04,0.26,0.5,0.35,0.0,0.24,0.21
miranda-icq.csv,0.43,0.06,0.24,0.05,0.07,0.12,0.09,0.35,0.09,0.16,0.28,0.01,1.0,0.3,0.0
opensim4opencog.csv,0.14,0.04,0.04,0.2,0.14,0.38,0.31,0.0,0.0,0.03,0.28,0.24,0.0,0.15,0.05
pclasses.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.01,0.0
pfaedit.csv,0.02,0.29,0.27,0.73,0.03,0.3,0.0,0.42,0.04,0.42,0.5,0.38,0.0,0.3,0.32
psrchive.csv,0.12,0.08,0.0,0.14,0.14,0.34,0.06,0.05,0.0,0.13,0.05,0.17,0.0,0.14,0.0
theresa.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.02,0.0
thrust.csv,0.43,0.31,0.44,0.43,0.52,0.52,0.37,0.36,0.02,0.32,0.16,0.48,0.0,0.48,0.68
tktoolkit.csv,0.5,0.21,0.17,0.32,0.03,0.12,0.43,0.19,0.32,0.13,0.0,0.27,0.0,0.24,0.05
tzod.csv,0.16,0.0,0.32,0.36,0.34,0.16,0.43,0.35,0.02,0.47,0.83,0.51,0.0,0.38,0.26
yaprm.csv,0.38,0.29,0.35,0.25,0.72,0.28,0.06,0.12,0.38,0.0,0.35,0.31,0.0,0.42,0.11
