,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.62,0.63,0.41,0.43,0.67,0.69,0.59,0.9,0.94,0.56,0.36,0.67,0.55,0.91,0.56,0.67,0.76,0.9
bigdata.csv,0.38,0.91,0.54,0.32,0.0,0.43,0.85,0.52,0.41,0.64,0.32,0.67,0.82,0.37,0.43,0.83,0.65,0.75
chaperon.csv,0.9,0.76,0.5,0.0,0.75,0.96,0.93,0.83,0.0,0.67,0.0,0.0,0.92,0.67,0.93,0.0,0.9,0.0
e-bio-flow.csv,0.5,0.9,0.67,0.89,0.64,0.94,0.69,0.97,0.93,0.81,0.43,0.8,0.81,0.83,0.87,0.61,0.92,0.92
exist.csv,0.6,0.79,0.52,0.45,0.6,0.42,0.52,0.44,0.36,0.4,0.96,0.67,0.45,0.43,0.42,0.43,0.49,0.41
freedom-erp.csv,0.88,0.88,0.86,0.75,0.5,0.75,0.89,0.8,0.67,0.0,0.41,0.8,0.94,0.0,0.94,0.86,0.95,0.0
geotools.csv,0.48,0.6,0.7,0.86,0.64,0.82,0.95,0.62,0.69,0.62,0.38,0.8,0.7,0.91,0.71,0.61,0.51,0.91
jaxlib.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0
jppf-project.csv,0.4,0.37,0.42,0.31,0.43,0.45,0.35,0.36,0.41,0.32,0.34,0.45,0.43,0.38,0.43,0.35,0.39,0.48
matrex.csv,0.7,0.55,0.55,0.82,0.75,0.43,0.64,0.75,0.45,0.64,0.34,0.82,0.67,0.83,0.54,0.61,0.65,0.88
mediate.csv,0.37,0.46,0.38,0.36,0.65,0.46,0.33,0.47,0.46,0.65,0.36,0.44,0.47,0.41,0.4,0.59,0.52,0.67
nunit.csv,0.8,0.45,0.58,0.6,0.71,0.77,0.44,0.54,0.91,0.82,0.6,0.83,0.72,0.93,0.75,0.97,0.92,0.92
octet.csv,0.71,0.34,0.78,0.42,0.92,0.66,0.85,0.64,0.66,0.94,0.56,0.83,0.79,0.55,0.73,0.6,0.7,0.78
pokenetonline.csv,0.61,0.71,0.43,0.33,0.6,0.4,0.35,0.45,0.38,0.4,0.39,0.73,0.4,0.44,0.41,0.94,0.58,0.54
reaper3d.csv,0.87,0.93,0.96,0.5,0.78,0.54,0.8,0.95,0.53,0.5,0.0,0.6,0.99,0.83,0.99,0.98,0.76,0.82
simplewebservices.csv,0.56,0.76,0.54,0.77,0.62,0.7,0.9,0.6,0.47,0.59,0.37,0.79,0.63,0.61,0.6,0.58,0.68,0.77
stajistics.csv,0.66,0.42,0.58,0.83,0.64,0.64,0.48,0.63,0.76,0.53,0.84,0.86,0.52,0.67,0.71,0.75,0.77,0.62
swtfox.csv,0.7,0.5,0.93,0.85,0.62,0.91,0.89,0.63,0.69,0.88,0.55,0.95,0.72,0.79,0.92,0.94,0.65,0.67
