,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.57,0.8,0.74,0.46,0.49,0.71,0.76,0.79,0.49,0.86,0.41,0.48
gmerlin.csv,0.57,0.7,0.74,0.58,0.6,0.56,0.68,0.65,0.83,0.61,0.49,0.56
google-gears.csv,0.42,0.42,0.39,0.39,0.56,0.58,0.33,0.49,0.37,0.37,0.41,0.39
gstreamer.csv,0.48,0.53,0.46,0.51,0.45,0.48,0.42,0.48,0.45,0.46,0.37,0.57
lportal.csv,0.67,0.81,0.75,0.59,0.98,0.99,0.65,0.82,0.72,0.62,0.94,0.93
metacosm.csv,0.4,0.72,0.4,0.78,0.96,0.51,0.47,0.43,0.97,0.42,0.98,0.52
mplayer-ce.csv,0.46,0.4,0.43,0.43,0.4,0.42,0.44,0.53,0.42,0.42,0.6,0.51
openmeetings.csv,0.54,0.95,0.56,0.63,0.72,0.62,0.82,0.61,0.45,0.59,0.42,0.47
qgis.csv,0.69,0.95,0.54,0.49,0.63,0.61,0.85,0.66,0.54,0.48,0.47,0.56
skia.csv,0.73,0.71,0.72,0.97,0.75,0.63,0.82,0.78,0.91,0.58,0.99,0.86
wxcrp.csv,0.62,0.56,0.71,0.4,0.45,0.48,0.9,0.82,0.87,0.57,0.39,0.75
yafdotnet.csv,0.52,0.58,0.46,0.49,0.54,0.6,0.48,0.54,0.47,0.88,0.47,0.58
