,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.24,0.13,0.12,0.02,0.42,0.21,0.23,0.08,0.25,0.15,0.69,0.29
gmerlin.csv,0.21,0.13,0.19,0.22,0.14,0.45,0.0,0.16,0.12,0.24,0.35,0.16
google-gears.csv,0.72,0.38,0.84,0.8,0.29,0.3,0.74,0.05,0.79,0.85,0.79,0.52
gstreamer.csv,0.52,0.28,0.34,0.43,0.5,0.52,0.38,0.24,0.02,0.39,0.64,0.26
lportal.csv,0.49,0.47,0.6,0.59,0.21,0.0,0.45,0.57,0.72,0.54,0.01,0.32
metacosm.csv,0.51,0.16,0.45,0.31,0.07,0.41,0.47,0.51,0.05,0.54,0.07,0.0
mplayer-ce.csv,0.85,0.98,0.89,0.85,0.85,0.9,0.83,0.84,0.91,0.83,0.01,0.81
openmeetings.csv,0.2,0.0,0.15,0.15,0.09,0.23,0.15,0.05,0.15,0.17,0.53,0.19
qgis.csv,0.25,0.07,0.02,0.43,0.23,0.37,0.29,0.19,0.6,0.41,0.56,0.23
skia.csv,0.19,0.2,0.18,0.1,0.23,0.32,0.15,0.22,0.03,0.02,0.11,0.06
wxcrp.csv,0.0,0.29,0.11,0.31,0.36,0.68,0.09,0.08,0.05,0.24,0.46,0.13
yafdotnet.csv,0.55,0.28,0.43,0.62,0.0,0.32,0.67,0.27,0.63,0.28,0.43,0.29
