,jmoney.csv,columba.csv,jmule.csv,unbvision.csv,nativeclient.csv,glelite.csv,magicwars.csv,pentahoanalysistool.csv,xmemcached.csv
columba.csv,0.65,0.59,0.63,0.34,0.48,0.32,0.45,0.45,0.39
glelite.csv,0.49,0.44,0.62,0.43,0.73,0.98,0.53,0.48,0.43
jmoney.csv,0.77,0.51,0.61,0.4,0.54,0.46,0.49,0.48,0.52
jmule.csv,0.55,0.52,0.82,0.39,0.55,0.65,0.51,0.5,0.49
magicwars.csv,0.49,0.46,0.64,0.41,0.74,0.99,0.7,0.52,0.39
nativeclient.csv,0.59,0.35,0.65,0.37,0.7,0.69,0.34,0.47,0.57
pentahoanalysistool.csv,0.52,0.42,0.32,0.2,0.39,0.8,0.39,0.65,0.2
unbvision.csv,0.58,0.4,0.29,0.59,0.63,0.84,0.48,0.42,0.48
xmemcached.csv,0.51,0.44,0.63,0.4,0.58,0.86,0.44,0.47,0.6
