,jmoney.csv,columba.csv,jmule.csv,unbvision.csv,nativeclient.csv,glelite.csv,magicwars.csv,pentahoanalysistool.csv,xmemcached.csv
columba.csv,0.17,0.23,0.66,0.16,0.25,0.0,0.91,0.47,0.67
glelite.csv,0.93,0.95,0.79,0.94,0.99,0.0,0.46,0.85,0.67
jmoney.csv,0.17,0.22,0.52,0.51,0.29,0.0,0.18,0.41,0.53
jmule.csv,0.54,0.35,0.17,0.67,0.32,0.67,0.43,0.56,0.5
magicwars.csv,0.95,0.96,0.93,1.0,1.0,1.0,0.08,0.83,0.81
nativeclient.csv,0.39,0.41,0.38,0.82,0.29,0.0,0.05,0.53,0.11
pentahoanalysistool.csv,0.61,0.62,0.28,0.18,0.42,1.0,0.14,0.36,0.33
unbvision.csv,0.34,0.28,0.17,0.32,0.69,0.0,0.27,0.19,0.44
xmemcached.csv,0.78,0.97,0.97,0.88,0.64,1.0,0.66,0.75,0.22
