,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.66,0.61,0.81,0.97,0.98,1.0,0.99,0.86,0.75,1.18,0.94,0.77
emono.csv,0.55,0.89,0.96,0.99,0.83,0.89,0.95,0.96,0.76,0.95,0.63,0.47
freedom-erp.csv,0.4,0.95,0.56,0.96,1.01,1.0,0.74,0.41,1.0,1.0,1.0,0.94
jchassis.csv,1.0,1.0,1.0,1.0,1.0,0.9,0.96,1.0,1.0,0.09,1.0,1.0
jmoney.csv,0.19,0.69,0.44,0.63,0.57,0.75,0.81,0.54,0.56,1.01,0.61,0.84
jmonkeyengine.csv,0.94,0.9,0.91,0.53,0.4,0.74,0.96,1.0,0.79,0.79,0.82,0.97
jsidplay2.csv,0.35,0.88,0.31,0.93,0.87,0.65,0.36,0.77,0.78,1.02,0.99,0.9
matrex.csv,0.37,0.71,0.66,1.0,0.95,0.54,0.23,0.68,1.0,1.0,0.83,0.84
mediate.csv,0.77,0.94,0.78,0.79,0.7,0.5,0.9,0.84,0.78,0.79,1.0,0.77
mesa3d.csv,0.68,0.78,0.71,0.59,0.68,0.97,0.61,0.7,0.68,1.03,0.53,0.77
pustefix.csv,0.95,0.95,0.89,0.44,0.49,0.88,0.96,0.94,0.98,0.42,0.96,0.73
reaper3d.csv,0.6,0.83,0.73,0.74,0.77,0.85,0.63,0.78,0.41,1.01,0.97,0.67
