,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.38,0.67,0.41,0.4,0.36,0.32,0.35,0.32,0.59,0.46,0.94,0.85
emono.csv,0.52,0.44,0.42,0.41,0.44,0.34,0.39,0.31,0.46,0.49,0.49,0.51
freedom-erp.csv,0.57,0.89,0.57,0.8,0.86,0.0,0.95,0.36,0.0,0.0,0.0,0.83
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.83,0.0,0.0,0.88,0.0,0.0
jmoney.csv,0.45,0.44,0.38,0.45,0.43,0.35,0.94,0.38,0.39,0.6,0.36,0.42
jmonkeyengine.csv,0.61,0.53,0.77,0.54,0.52,0.72,0.73,0.8,0.49,0.61,0.42,0.45
jsidplay2.csv,0.44,0.9,0.38,0.92,0.38,0.38,0.43,0.3,0.72,0.62,0.0,0.9
matrex.csv,0.48,0.88,0.54,0.0,0.88,0.49,0.45,0.75,0.67,0.0,0.96,0.82
mediate.csv,0.75,0.41,0.71,0.7,0.94,0.48,0.41,0.33,0.74,0.57,0.0,0.65
mesa3d.csv,0.48,0.57,0.49,0.55,0.5,0.32,0.44,0.33,0.41,0.93,0.48,0.45
pustefix.csv,0.55,0.92,0.92,0.7,0.46,0.89,0.94,0.9,0.62,0.83,0.46,0.63
reaper3d.csv,0.44,0.54,0.42,0.5,0.68,0.83,0.49,0.32,0.49,0.7,0.92,0.5
