,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.5,0.49,0.47,0.63,0.82,0.58,0.47,0.53,0.58,0.33
firebird.csv,0.5,0.91,0.6,0.55,0.47,0.45,0.43,0.5,0.44,0.54
fmri-dmt.csv,0.97,0.83,0.92,0.99,0.9,0.93,0.86,0.67,0.91,0.8
htmlunit.csv,0.97,0.88,0.86,0.99,0.71,0.6,0.88,0.0,0.8,0.63
monetdb.csv,0.55,0.86,0.65,0.62,0.61,0.72,0.62,0.46,0.57,0.89
ontomorphtab.csv,0.44,0.43,0.38,0.44,0.37,0.37,0.36,0.41,0.38,0.3
smarttag.csv,0.98,0.86,0.92,0.94,0.77,0.95,0.89,0.71,0.92,0.9
taokgame.csv,0.88,0.56,0.9,0.55,0.81,0.8,0.9,0.49,0.86,0.66
webdriver.csv,0.69,0.59,0.79,0.58,0.94,0.77,0.52,0.54,0.81,0.92
xbplayer.csv,0.55,0.89,0.56,0.63,0.63,0.66,0.57,0.67,0.91,0.9
