,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.64,0.85,0.64,0.05,0.83,0.65,0.76,0.84,0.66,0.93
firebird.csv,0.04,0.78,0.62,0.6,0.61,0.61,0.43,0.7,0.51,0.64
fmri-dmt.csv,0.9,0.83,0.91,0.92,0.93,0.89,0.89,1.0,0.92,0.17
htmlunit.csv,0.87,0.8,0.91,0.82,0.63,0.06,0.79,1.0,0.94,0.72
monetdb.csv,0.58,0.86,0.46,0.62,0.74,0.56,0.6,0.66,0.0,0.88
ontomorphtab.csv,0.72,0.0,0.77,0.69,0.7,0.65,0.73,0.72,0.72,0.82
smarttag.csv,0.87,0.83,1.01,0.78,0.66,0.87,0.89,0.08,0.9,0.85
taokgame.csv,0.97,0.67,0.0,0.79,0.75,1.0,0.85,0.8,0.96,0.65
webdriver.csv,0.67,0.62,0.32,0.67,0.84,0.7,0.02,0.63,0.59,0.86
xbplayer.csv,0.63,0.77,0.86,0.66,0.01,0.52,0.57,0.93,0.73,0.68
