,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.47,0.97,1.01,0.82,0.85,0.95,0.62,0.74
apolloplayer.csv,0.9,0.41,0.66,0.97,0.75,0.64,0.66,0.89
k3d.csv,0.7,0.92,1.0,0.92,0.89,0.22,1.0,0.68
keyczar.csv,0.8,1.0,1.0,0.83,0.94,0.93,1.0,0.34
kowari.csv,0.73,0.67,1.0,0.94,0.71,0.7,0.47,0.88
redshell.csv,0.85,0.73,1.21,1.01,0.43,0.84,0.81,0.95
rtb-team.csv,0.89,0.65,1.0,0.3,0.85,0.77,1.01,0.84
